timestamp,close_price,volume_base,volume_quote
2024-02-09 08:00:00,46641.5804,13102.4203,608364088.68
2024-02-09 09:00:00,46539.3951,12609.1403,587664675.24
2024-02-09 10:00:00,46788.4847,9381.7225,437558679.75
2024-02-09 11:00:00,47187.8106,21356.6111,1002667728.6
2024-02-09 12:00:00,47315.9465,31598.9243,1497315238.71
2024-02-09 13:00:00,47467.3695,15309.6304,726040545.12
2024-02-09 14:00:00,47055.6171,34384.8133,1620422250.91
2024-02-09 15:00:00,47161.7401,21498.747,1011526918.08
2024-02-09 16:00:00,47288.7415,15567.9846,736344271.74
2024-02-09 17:00:00,47671.7367,15133.1747,718926021.66
2024-02-09 18:00:00,47631.7056,30662.001,1467669844.55
2024-02-09 19:00:00,47535.2512,15712.2517,746463803.89
2024-02-09 20:00:00,47539.2446,15567.7932,741245582.05
2024-02-09 21:00:00,47544.2494,9546.1951,453209336.12
2024-02-09 22:00:00,47302.72,6463.0166,306103048.84
2024-02-09 23:00:00,47151.5734,6643.3616,313581756.8
2024-02-10 00:00:00,47109.5065,6827.7919,322025493.63
2024-02-10 01:00:00,47331.7063,6099.2113,288051919.02
2024-02-10 02:00:00,47344.738,3173.669,150215265.09
2024-02-10 03:00:00,47404.4543,4430.4907,210144450.02
2024-02-10 04:00:00,47443.8188,2959.4493,140285988.91
2024-02-10 05:00:00,47365.4502,2852.3649,135181346.65
2024-02-10 06:00:00,47381.5351,2672.6722,126532492.82
2024-02-10 07:00:00,47198.2775,3784.4103,178981789.27
2024-02-10 08:00:00,47127.0461,4208.7378,198640848.35
2024-02-10 09:00:00,47103.1102,4023.4428,189773115.05
2024-02-10 10:00:00,46922.357,7094.363,333707771.46
2024-02-10 11:00:00,47216.3067,6439.9335,303206002.29
2024-02-10 12:00:00,47268.9779,4705.9848,222322293.59
2024-02-10 13:00:00,47332.4959,5864.5303,277201819.24
2024-02-10 14:00:00,47294.7698,3624.5102,171506641.7
2024-02-10 15:00:00,47377.961,3559.987,168471003.0
2024-02-10 16:00:00,47280.7757,3328.0366,157409362.61
2024-02-10 17:00:00,47231.418,4112.9341,194304672.53
2024-02-10 18:00:00,47362.5187,3276.5159,154982540.97
2024-02-10 19:00:00,47555.1699,7575.4339,360043843.91
2024-02-10 20:00:00,47898.9587,13032.1029,623593507.64
2024-02-10 21:00:00,47957.3414,10401.9835,498768134.01
2024-02-10 22:00:00,47836.1922,6738.7172,321909557.78
2024-02-10 23:00:00,47765.7512,5261.51,251662433.37
2024-02-11 00:00:00,47750.5247,4479.8911,213742352.18
