timestamp,close_price,volume_base,volume_quote,market_cap
2024-05-01 00:00:00,0.9991946565,14243177.8325,14231359.34,110569151502.23
2024-05-01 01:00:00,0.9991244883,7272292.7048,7267671.8,110537403471.61
2024-05-01 02:00:00,0.9991508853,8760351.9482,8755053.36,110466354142.14
2024-05-01 03:00:00,0.9991003649,6270335.0839,6266386.85,110499257519.24
2024-05-01 04:00:00,0.9991080972,7170144.2504,7166996.22,110502019362.75
2024-05-01 05:00:00,0.999105523,7062395.9998,7056035.16,110517479507.46
2024-05-01 06:00:00,0.9992228537,15611913.1132,15638267.96,110471189622.15
2024-05-01 07:00:00,0.9993014755,49739019.5122,49791784.42,110422939714.68
2024-05-01 08:00:00,0.9988658249,36658500.2674,36635349.19,110359526596.91
2024-05-01 09:00:00,0.9992734699,22800628.9081,22796502.42,110530127504.3
2024-05-01 10:00:00,0.9994967052,13786014.2836,13781087.83,110360540970.34
2024-05-01 11:00:00,0.9992659557,17491167.9527,17474767.27,110504184462.71
2024-05-01 12:00:00,0.999550672,14855820.8553,14844005.67,110535147234.8
2024-05-01 13:00:00,0.9994088179,14328308.0031,14319078.24,110465848894.08
2024-05-01 14:00:00,0.999231627,21367403.5772,21352415.28,110555276496.72
2024-05-01 15:00:00,0.9992216456,32217149.1878,32194318.64,110455751648.12
2024-05-01 16:00:00,0.9993563927,16708625.2115,16690789.72,110312744065.58
2024-05-01 17:00:00,0.9993206605,14543864.6966,14531058.96,110367503050.54
2024-05-01 18:00:00,0.9995282704,21596100.7373,21574386.17,110556129283.01
2024-05-01 19:00:00,0.9993440735,25461769.4837,25440699.31,110591363008.94
2024-05-01 20:00:00,0.9993810828,15812822.439,15801887.12,110447103389.22
2024-05-01 21:00:00,0.999258058,13238557.143,13228686.75,110588252634.93
2024-05-01 22:00:00,0.9992952015,6982620.2742,6975000.19,110528629737.98
2024-05-01 23:00:00,0.999314963,5966662.3126,5961022.48,110476890186.26
2024-05-02 00:00:00,0.9995437559,9569110.3408,9560786.23,110656637832.43
2024-05-02 01:00:00,0.9997022759,6666103.3191,6661710.9,110446577068.57
2024-05-02 02:00:00,0.999760031,8511208.0414,8506023.03,110607559170.01
2024-05-02 03:00:00,0.9996278781,12571085.4063,12560514.98,110577283473.82
2024-05-02 04:00:00,0.9996630934,4436367.2807,4433286.13,110443278065.8
2024-05-02 05:00:00,0.9998598684,12760181.2852,12751990.47,110490091837.25
2024-05-02 06:00:00,0.9998911298,18215877.5359,18207715.94,110517059496.09
2024-05-02 07:00:00,0.9998027514,16115441.803,16118687.67,110531535329.87
2024-05-02 08:00:00,0.9998894429,15469602.6541,15467914.97,110539269368.49
2024-05-02 09:00:00,0.9998665286,20946755.2055,20941631.6,110568273548.45
2024-05-02 10:00:00,0.9999889486,17563506.3671,17559193.21,110572204038.69
2024-05-02 11:00:00,0.999961283,22324937.1477,22328209.35,110642452531.21
2024-05-02 12:00:00,1.0001078668,34761013.2688,34770498.5,110646282847.28
2024-05-02 13:00:00,1.0002441433,31987368.3245,31988985.76,110533495518.87
2024-05-02 14:00:00,1.0001295448,44082327.3394,44080094.64,110481412997.75
2024-05-02 15:00:00,1.0003145956,23351109.8882,23354972.03,110660550704.02
2024-05-02 16:00:00,1.0003676519,15688035.0784,15695136.14,110578405461.04
2024-05-02 17:00:00,1.000414352,17126091.0639,17133904.54,110603859779.62
2024-05-02 18:00:00,1.0003924198,30542907.4282,30553590.05,110605359101.56
2024-05-02 19:00:00,1.0004371696,20205592.7613,20223559.04,110645417803.06
2024-05-02 20:00:00,1.0005152103,26824642.7512,26834564.54,110302212071.87
2024-05-02 21:00:00,1.0003236124,30415695.9784,30431271.1,110617619115.54
2024-05-02 22:00:00,1.0004401665,24554041.1536,24576468.98,110536127341.24
2024-05-02 23:00:00,1.0004171582,9767712.9361,9774364.12,110696384321.77
2024-05-03 00:00:00,1.0004855539,9660247.4342,9666647.03,110592681676.27
2024-05-03 01:00:00,1.0005668858,9177134.4054,9182549.7,110677467873.44
2024-05-03 02:00:00,1.0006018633,7809604.3836,7814890.68,110558226759.84
2024-05-03 03:00:00,1.0006456264,4733569.8794,4736741.96,110576078596.33
2024-05-03 04:00:00,1.0004930057,16367177.562,16372162.06,110618755093.04
2024-05-03 05:00:00,1.000616423,8352166.1914,8358960.0,110583106341.36
2024-05-03 06:00:00,1.0006261087,12476357.675,12482747.3,110599172449.68
2024-05-03 07:00:00,1.0002861841,15211845.5869,15219097.33,110625909357.63
2024-05-03 08:00:00,1.0003095874,11386938.0974,11388025.48,110482381602.26
2024-05-03 09:00:00,1.0003051597,10245119.5519,10246523.16,110594944539.24
2024-05-03 10:00:00,1.0002921696,16520164.4854,16522001.79,110704389439.45
2024-05-03 11:00:00,1.0002347814,11957013.7153,11958255.97,110485093878.83
2024-05-03 12:00:00,1.0003098564,28257214.062,28265683.17,110519214312.58
2024-05-03 13:00:00,1.000523591,42911156.1261,42927908.27,110780042503.71
2024-05-03 14:00:00,1.0006741277,39616330.2709,39640385.61,110695913088.9
2024-05-03 15:00:00,1.0007675383,22779486.4082,22796744.11,110570744746.1
2024-05-03 16:00:00,1.0007719394,17425539.7173,17432511.91,110633782502.08
2024-05-03 17:00:00,1.0006926749,11983840.7392,11987990.22,110478328573.81
2024-05-03 18:00:00,1.000649719,7080545.0969,7082432.83,110685329653.46
2024-05-03 19:00:00,1.0006966132,13475030.8634,13479208.26,110614589961.19
2024-05-03 20:00:00,1.0007874091,17069601.9593,17078905.38,110650595141.28
2024-05-03 21:00:00,1.0007603577,14656994.2426,14665193.73,110604695174.13
2024-05-03 22:00:00,1.0007485035,5387446.1202,5390835.61,110714809525.09
2024-05-03 23:00:00,1.0007267676,10689373.0568,10694440.3,110770513150.03
2024-05-04 00:00:00,1.0007371826,10835767.7433,10840546.98,110688767950.99
2024-05-04 01:00:00,1.0005605158,10807697.0152,10811854.52,110908744511.78
2024-05-04 02:00:00,1.0005274292,3529906.0888,3531187.24,110794906064.89
2024-05-04 03:00:00,1.0005737853,4023601.7693,4025152.22,110851087823.22
2024-05-04 04:00:00,1.0006063574,6396700.7403,6399532.56,110741039930.46
2024-05-04 05:00:00,1.0005791809,2840680.3774,2841841.25,111058148106.19
2024-05-04 06:00:00,1.0005461512,5769722.4292,5771657.67,110844708852.52
2024-05-04 07:00:00,1.0004505423,9327180.242,9329577.85,110790806619.19
2024-05-04 08:00:00,1.0004194746,3374774.4335,3375745.55,110761852826.57
2024-05-04 09:00:00,1.0003412161,9576578.8618,9578785.23,110878473180.16
2024-05-04 10:00:00,1.00030706,16651141.9805,16652380.87,110776886263.98
2024-05-04 11:00:00,1.000379807,13842870.6973,13845996.81,110838640821.72
2024-05-04 12:00:00,1.0003464187,12744417.8933,12746401.2,110775001651.71
2024-05-04 13:00:00,1.0003612061,14750630.8442,14754075.53,110822933092.85
2024-05-04 14:00:00,1.0003651891,9665806.4902,9668908.78,110787116437.52
2024-05-04 15:00:00,1.0003216287,12592299.08,12595405.15,110962014663.09
2024-05-04 16:00:00,1.0001730627,7158643.4863,7160529.94,110806030894.06
2024-05-04 17:00:00,1.0002096216,5353782.472,5354602.81,110771062718.12
2024-05-04 18:00:00,1.0002026934,19650896.9569,19652267.98,110822482419.21
2024-05-04 19:00:00,1.0001973711,10799286.9486,10800119.34,110754030971.45
2024-05-04 20:00:00,1.0001424533,11436412.1088,11437006.21,110806401501.21
2024-05-04 21:00:00,1.0002282325,3874521.6869,3874855.46,110783896868.39
2024-05-04 22:00:00,1.0002178544,2517805.0848,2518262.94,110796599925.89
2024-05-04 23:00:00,1.0002386184,2709273.9822,2709796.92,110758471999.76
2024-05-05 00:00:00,1.000299856,5835218.3286,5836728.37,110825962031.83
2024-05-05 01:00:00,1.0002861207,6604565.9224,6606792.07,110764303785.84
2024-05-05 02:00:00,1.0002908118,3241890.9182,3243818.87,110802377792.93
2024-05-05 03:00:00,1.0003018549,3185204.1921,3188128.93,110736431870.58
2024-05-05 04:00:00,1.0003113633,2906688.6767,2908621.26,110824189833.57
2024-05-05 05:00:00,1.0003203187,4279878.589,4281555.67,110783937597.77
2024-05-05 06:00:00,1.0002893685,4558868.6041,4560030.98,110808065342.37
2024-05-05 07:00:00,1.0002899724,4113099.4672,4113814.64,110775262711.56
2024-05-05 08:00:00,1.0002763696,6097232.785,6098965.75,110792940997.82
2024-05-05 09:00:00,1.0002275766,4453070.5652,4453846.45,110813921248.18
2024-05-05 10:00:00,1.0002628141,4393543.9299,4394213.59,110896906815.93
2024-05-05 11:00:00,1.0002020905,5289060.7103,5289814.94,110877699128.35
2024-05-05 12:00:00,1.0003688073,3805714.895,3806659.82,110936033996.67
