timestamp,portfolio_total_value,btc_holding,eth_holding,sol_holding,doge_holding,usdt_holding,btc_price,eth_price,sol_price,doge_price,usdt_price
2025-02-21 00:00:00,999796.7119344405,0.0,0.0,0.0,0.0,1000000.0,98284.4827,2737.3206,174.6249,0.2543701502,1.0002033294
2025-02-21 01:00:00,999796.7119344405,0.0,0.0,0.0,0.0,1000000.0,98359.7411,2743.0331,174.4855,0.2540557545,1.0001876436
2025-02-21 02:00:00,999796.7119344405,0.0,0.0,0.0,0.0,1000000.0,98169.9476,2738.5563,173.5499,0.252975277,1.0002572092
2025-02-21 03:00:00,1000213.5418,0.0,182.08081944258765,0.0,0.0,499791.62956301845,98193.6412,2745.4751,173.4785,0.2527171584,1.0002135418
2025-02-21 04:00:00,1001073.4563989782,0.0,181.61357451211683,0.0,1967937.5101202386,0.0,98252.6086,2752.5385,174.2062,0.2540214582,1.0001948036
2025-02-21 05:00:00,1001177.8026890331,0.0,0.0,2852.067176228665,1965889.9015050104,0.0,98384.9233,2757.2761,175.2758,0.2542860389,1.0001989232
2025-02-21 06:00:00,1002253.9044594956,0.0,180.97120639344172,2837.4908527214247,0.0,0.0,98451.27,2762.3088,176.1762,0.2542296732,1.0002004475
2025-02-21 07:00:00,998443.0686484644,0.0,0.0,2839.989478353859,0.0,499793.3233007833,98228.1083,2757.2592,176.0212,0.2537481129,1.0002101522
2025-02-21 08:00:00,1001334.6009598754,0.0,0.0,2831.398184972189,1960656.368676009,0.0,98264.3816,2752.5609,176.5553,0.2549647985,1.0002522709
2025-02-21 09:00:00,1005563.8425984256,0.0,179.579136092989,0.0,1950874.6746382168,0.0,98385.2932,2783.7218,177.7069,0.2562431931,1.0001881652
2025-02-21 10:00:00,1004671.5096732517,0.0,178.37418265434368,2782.877791054793,0.0,0.0,98654.9496,2802.5264,179.6336,0.2570109943,1.0001689987
2025-02-21 11:00:00,991216.0696771645,5.066500957255822,179.16258008124893,0.0,0.0,0.0,98667.3762,2790.194,177.3407,0.2557627625,1.0001233388
2025-02-21 12:00:00,1004340.0781252678,5.052183807945253,0.0,0.0,1938032.7763190044,0.0,98946.9851,2807.6459,178.3231,0.2579411257,1.0001712956
2025-02-21 13:00:00,1008632.8131128607,0.0,176.13746221734021,0.0,1912774.344641361,0.0,99389.3441,2838.1149,180.1912,0.2613472715,1.0002461359
2025-02-21 14:00:00,989366.9453393114,0.0,178.0341834474748,0.0,1932505.3855146363,0.0,98830.3123,2807.8785,177.8624,0.2586788941,1.0001518044
