timestamp,close_price,volume_base,volume_quote
2024-03-01 00:00:00,1.0002402356,19032744.2871,19040281.54
2024-03-01 01:00:00,1.0001812968,17844351.121,17848770.76
2024-03-01 02:00:00,1.0003137945,17722874.679,17727588.66
2024-03-01 03:00:00,1.0002320949,13799702.0312,13802947.19
2024-03-01 04:00:00,1.0001550692,14922026.8685,14924143.17
2024-03-01 05:00:00,1.0001999973,18395880.1523,18399547.0
2024-03-01 06:00:00,1.0001913635,18432144.3823,18435460.08
2024-03-01 07:00:00,1.0003004004,26468694.0233,26474838.23
2024-03-01 08:00:00,1.0005038456,25311450.1161,25322670.83
2024-03-01 09:00:00,1.0008418495,24300983.4824,24315295.95
2024-03-01 10:00:00,1.0007316889,18533127.2253,18545359.56
2024-03-01 11:00:00,1.0006077343,18964089.5646,18975583.2
2024-03-01 12:00:00,1.0004336185,26177038.774,26188787.4
2024-03-01 13:00:00,1.0003077856,33265942.4479,33275204.11
2024-03-01 14:00:00,1.00025683,39463585.3409,39475905.21
2024-03-01 15:00:00,1.000191149,52494041.7699,52503982.54
2024-03-01 16:00:00,1.0001400138,32902587.5888,32909451.81
2024-03-01 17:00:00,1.0001659951,24169695.0439,24173388.09
2024-03-01 18:00:00,1.0002799809,20892904.7738,20895882.45
2024-03-01 19:00:00,1.0005740458,15803191.6444,15810051.8
2024-03-01 20:00:00,1.0009071503,40372652.3936,40397765.69
2024-03-01 21:00:00,1.0008138321,66173122.6063,66239410.27
2024-03-01 22:00:00,1.0006804603,36262386.1574,36291707.24
2024-03-01 23:00:00,1.0006795889,21241996.0164,21257410.59
2024-03-02 00:00:00,1.0004657264,21831943.1597,21843418.24
2024-03-02 01:00:00,1.0006724359,23246806.4975,23261385.48
2024-03-02 02:00:00,1.0007540968,18493088.3648,18505557.38
2024-03-02 03:00:00,1.0009252844,27921219.7851,27945703.39
2024-03-02 04:00:00,1.0009867544,18633240.8876,18652382.99
2024-03-02 05:00:00,1.0010806506,19669714.6439,19689823.01
2024-03-02 06:00:00,1.0010818467,14917407.3674,14932069.08
2024-03-02 07:00:00,1.0010135288,16023992.6054,16038192.11
2024-03-02 08:00:00,1.0010342911,21715407.6902,21738570.35
2024-03-02 09:00:00,1.001171472,30555308.6949,30576687.69
2024-03-02 10:00:00,1.0011265837,16037123.4081,16054849.6
2024-03-02 11:00:00,1.0012796537,15045512.861,15063769.43
2024-03-02 12:00:00,1.0008822006,25611894.6722,25637893.4
2024-03-02 13:00:00,1.0008812183,24408407.0263,24427307.18
2024-03-02 14:00:00,1.0008242812,29111268.2974,29131388.1
2024-03-02 15:00:00,1.0008962414,13084545.3383,13093957.86
2024-03-02 16:00:00,1.0009286151,12530073.9053,12541447.49
2024-03-02 17:00:00,1.0010074744,14741619.9414,14754927.78
2024-03-02 18:00:00,1.0008761073,11595053.6836,11605658.19
2024-03-02 19:00:00,1.0007693769,26067090.5372,26089638.12
2024-03-02 20:00:00,1.0008884824,22796696.4081,22816429.28
2024-03-02 21:00:00,1.0009253246,12174146.8936,12185507.79
2024-03-02 22:00:00,1.0009046827,14149307.4571,14162698.56
2024-03-02 23:00:00,1.0006618666,16739711.9342,16751671.46
2024-03-03 00:00:00,1.0006130823,11299179.8437,11306740.55
2024-03-03 01:00:00,1.0004950144,28919034.8418,28934662.91
2024-03-03 02:00:00,1.0004047931,33805228.755,33819078.02
2024-03-03 03:00:00,1.0004838521,9368212.2722,9372007.0
2024-03-03 04:00:00,1.0005027243,7628852.076,7631570.76
