timestamp,portfolio_total_value,btc_holding,eth_holding,sol_holding,doge_holding,usdt_holding,btc_price,eth_price,sol_price,doge_price,usdt_price,log_return
2024-11-05 00:00:00,1000614.7152426868,0.0,0.0,0.0,0.0,1000000.0,68006.8008,2400.2317,158.576,0.1647554359,0.9993856624,
2024-11-05 01:00:00,999365.7792,0.0,0.0,3158.3201838550394,0.0,500000.0,67969.5688,2409.7639,158.2116,0.1626219546,0.9993657792,-0.001248948385752316
2024-11-05 02:00:00,999428.2145390847,0.0,207.87115466672435,3158.399717285018,0.0,0.0,67857.8633,2403.9608,158.2175,0.1619135106,0.9994533817,6.247301052590561e-05
2024-11-05 03:00:00,1007064.107713552,0.0,0.0,0.0,3098897.6045027548,503812.56974299543,68216.7021,2419.2786,159.627,0.1624874772,0.9994432138,0.0076112227816417174
2024-11-05 04:00:00,1006257.4239815146,7.365512501787324,0.0,0.0,0.0,503404.1376843537,68308.7174,2427.8065,159.9727,0.1622255936,0.9994528736,-0.000801346195832068
2024-11-05 05:00:00,1009344.2500166532,7.343365489335556,0.0,0.0,3055112.211288127,0.0,68724.909,2431.4108,160.8059,0.1651893908,0.9994953079,0.003062934991801501
2024-11-05 06:00:00,1022887.3461431322,7.437023518885264,0.0,0.0,3017116.209475787,0.0,68769.9416,2429.3866,160.9812,0.1695140782,0.9995079975,0.013328497248462594
2024-11-05 07:00:00,1019033.1760764944,7.396874736755283,0.0,0.0,0.0,509767.175002137,68882.6844,2442.5007,162.069,0.1679587384,0.9995084286,-0.0037750486386147046
2024-11-05 08:00:00,1020127.1843185587,7.388972255453183,0.0,3137.829459679485,0.0,0.0,69030.384,2441.6421,162.553,0.1684204915,0.999511357,0.0010729988364581774
2024-11-05 09:00:00,1015985.396993771,7.386945274579247,0.0,0.0,0.0,508234.8814136365,68768.9809,2434.731,161.8486,0.1680728784,0.9995234823,-0.004068334015985241
2024-11-05 10:00:00,1015955.2558218942,7.388002603678008,0.0,3141.0506900780915,0.0,0.0,68757.0992,2434.7665,161.7222,0.1692013499,0.9996368714,-2.9667374228930595e-05
2024-11-05 11:00:00,1018439.1445730807,0.0,208.69353535823598,0.0,2966898.251849262,0.0,68804.7093,2440.0352,162.401,0.1716336487,0.9996217989,0.002441896207500656
2024-11-05 12:00:00,1013555.9653091949,0.0,0.0,3100.2857712515984,0.0,506932.97310219315,68863.2922,2443.4728,163.4617,0.1697459587,0.9996942585,-0.004806299621946646
2024-11-05 13:00:00,1014556.2631348674,0.0,207.72962435575496,3097.28968794016,0.0,0.0,68821.6792,2442.0115,163.7813,0.1711267641,0.9997128931,0.000986432498907165
2024-11-05 14:00:00,1029972.7593263448,7.360819009640505,0.0,0.0,2906857.3230124,0.0,69963.1901,2469.3779,166.9233,0.1771625926,0.9998457159,0.015081016910231407
2024-11-05 15:00:00,1020245.8507934632,0.0,209.0179789983173,0.0,2920244.7141003283,0.0,69620.1742,2440.5696,165.9174,0.1746849923,0.9998888974,-0.009488726193093556
2024-11-05 16:00:00,1031970.5717322702,7.351293926546432,0.0,3061.445956617214,0.0,0.0,70189.7232,2461.9237,168.543,0.1771715408,0.9999414971,0.011426522446744643
2024-11-05 17:00:00,1025241.3509980815,0.0,0.0,0.0,2909129.165743268,512587.957317278,69975.8124,2452.1585,166.8586,0.1762110399,1.0000638294,-0.006542101628129301
