timestamp,transaction_count,total_value_transferred_eth,unique_active_wallets,avg_gas_price_gwei,total_gas_used
2024-01-01 00:00:00,44117,45100.1123,21956,14.1412,4447939312
2024-01-01 01:00:00,44396,40795.9885,23578,12.5831,4468887129
2024-01-01 02:00:00,51729,45519.9169,30259,12.719,4483886146
2024-01-01 03:00:00,47329,55845.7827,24953,12.3511,4486710357
2024-01-01 04:00:00,54209,21645.7585,33670,11.8818,4465048741
2024-01-01 05:00:00,50580,56664.5441,28897,12.4335,4534810226
2024-01-01 06:00:00,54700,24361.7099,30664,11.9079,4458013365
2024-01-01 07:00:00,55469,27406.2927,21896,11.7471,4502521049
2024-01-01 08:00:00,44943,17804.3621,19936,11.9297,4497463835
2024-01-01 09:00:00,40833,42460.9491,20315,13.5246,4461741845
2024-01-01 10:00:00,45916,15394.2848,25363,12.005,4448645095
2024-01-01 11:00:00,39867,32748.0942,18833,13.2697,4437205761
2024-01-01 12:00:00,40222,40235.9049,18779,14.259,4439818188
2024-01-01 13:00:00,41475,44202.4323,18613,14.7546,4485045786
2024-01-01 14:00:00,43286,39466.3646,19479,16.1074,4509916410
2024-01-01 15:00:00,42507,54790.9371,19165,17.173,4478259369
2024-01-01 16:00:00,44940,88852.1681,19909,17.229,4535514817
2024-01-01 17:00:00,45547,53923.7673,20723,19.9808,4483022161
2024-01-01 18:00:00,43783,30767.6579,19694,19.5693,4450210650
2024-01-01 19:00:00,44256,30343.0336,20118,19.4112,4474261065
2024-01-01 20:00:00,46076,29428.3065,20914,22.5645,4518874041
2024-01-01 21:00:00,46615,33975.2264,22138,17.3827,4454400252
2024-01-01 22:00:00,45302,32721.1667,20810,15.7118,4425539781
2024-01-01 23:00:00,43368,40728.2371,20414,15.5484,4459902144
2024-01-02 00:00:00,44141,38355.6248,19940,18.2086,4502130400
2024-01-02 01:00:00,44700,55105.6426,21251,20.9913,4425519436
2024-01-02 02:00:00,45571,47006.4162,21596,16.7474,4520277885
2024-01-02 03:00:00,43950,28469.4517,21136,17.1495,4488095269
2024-01-02 04:00:00,44665,59709.3778,22933,15.4118,4500898306
2024-01-02 05:00:00,46823,29378.6682,23279,15.5175,4439703734
