UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT
HOUR,1714665600,267,cadli,USDT-USD,1.00031459564264,1.00037283783122,1.00030281986522,1.00036765194341,1714665600,1714669199,1.00030931182437,1.00037283783122,1714669194,1.00030281986522,1714666483,1.00036765194341,3693,16747686.2165094,16754627.3835225,15688035.0783965,15695136.1389028,16747686.2165094,16754627.3835225,15688035.0783965,15695136.1389028
HOUR,1714669200,267,cadli,USDT-USD,1.00036765194341,1.00043712619864,1.00024938921075,1.00041435195883,1714669200,1714672799,1.00036766432616,1.00043712619864,1714672582,1.00024938921075,1714670378,1.00041435195883,3670,18241291.1253416,18249433.4656474,17126091.0639044,17133904.5410665,18241291.1253416,18249433.4656474,17126091.0639044,17133904.5410665
HOUR,1714672800,267,cadli,USDT-USD,1.00041435195883,1.00051225105848,1.00034733479544,1.00039241979825,1714672800,1714676399,1.00041431086366,1.00051225105848,1714673951,1.00034733479544,1714676062,1.00039241979825,4054,31352392.3012257,31363714.9024924,30542907.4281649,30553590.0474908,31352392.3012257,31363714.9024924,30542907.4281649,30553590.0474908
HOUR,1714676400,267,cadli,USDT-USD,1.00039241979825,1.00053851947528,1.00036468547131,1.00043716957129,1714676400,1714679999,1.0003924208823,1.00053851947528,1714677373,1.00036468547131,1714679304,1.00043716957129,3483,20886458.2094383,20905176.985943,20205592.761252,20223559.0387285,20886458.2094383,20905176.985943,20205592.761252,20223559.0387285
HOUR,1714680000,267,cadli,USDT-USD,1.00043716957129,1.00052338665594,1.0003651302187,1.00051521027666,1714680000,1714683599,1.0004371559835,1.00052338665594,1714682359,1.0003651302187,1714680980,1.00051521027666,3824,27241959.5606791,27252703.882236,26824642.7511659,26834564.5360519,27241959.5606791,27252703.882236,26824642.7511659,26834564.5360519
HOUR,1714683600,267,cadli,USDT-USD,1.00051521027666,1.00051605673296,1.0002769552411,1.00032361239675,1714683600,1714687197,1.000515302253,1.00051605673296,1714683613,1.0002769552411,1714686997,1.00032361239675,3459,30817590.8693409,30833715.6382207,30415695.9783805,30431271.0960028,30817590.8693409,30833715.6382207,30415695.9783805,30431271.0960028
HOUR,1714687200,267,cadli,USDT-USD,1.00032361239675,1.00044587826593,1.00023816969937,1.0004401665142,1714687200,1714690799,1.00032356707374,1.00044587826593,1714690772,1.00023816969937,1714687609,1.0004401665142,3575,25029525.6464752,25052778.4843701,24554041.1536067,24576468.9795018,25029525.6464752,25052778.4843701,24554041.1536067,24576468.9795018
HOUR,1714690800,267,cadli,USDT-USD,1.0004401665142,1.00045850676778,1.00039694916747,1.00041715815192,1714690800,1714694398,1.00044091774106,1.00045850676778,1714693179,1.00039694916747,1714694163,1.00041715815192,2717,10198045.3062849,10205369.5399139,9767712.93605781,9774364.12150211,10198045.3062849,10205369.5399139,9767712.93605781,9774364.12150211
HOUR,1714694400,267,cadli,USDT-USD,1.00041715815192,1.00052789164214,1.00039760087837,1.00048555391253,1714694400,1714697999,1.00041713560723,1.00052789164214,1714697110,1.00039760087837,1714695309,1.00048555391253,3160,10145371.1407661,10152453.1582225,9660247.43419822,9666647.02658549,10145371.1407661,10152453.1582225,9660247.43419822,9666647.02658549
HOUR,1714698000,267,cadli,USDT-USD,1.00048555391253,1.00057224150462,1.00042258745641,1.00056688575832,1714698000,1714701599,1.00048563860504,1.00057224150462,1714701592,1.00042258745641,1714698894,1.00056688575832,3531,9519407.04234338,9525497.11068146,9177134.40535368,9182549.69783642,9519407.04234338,9525497.11068146,9177134.40535368,9182549.69783642
HOUR,1714701600,267,cadli,USDT-USD,1.00056688575832,1.0006057408514,1.00054734522909,1.00060186333924,1714701600,1714705196,1.00056687689017,1.0006057408514,1714704761,1.00054734522909,1714702851,1.00060186333924,3024,8213759.99547408,8219868.9809516,7809604.38359238,7814890.67541706,8213759.99547408,8219868.9809516,7809604.38359238,7814890.67541706
HOUR,1714705200,267,cadli,USDT-USD,1.00060186333924,1.00064810412071,1.00058308988152,1.00064562641712,1714705200,1714708797,1.00060192590651,1.00064810412071,1714708791,1.00058308988152,1714705235,1.00064562641712,2752,5999526.92050086,6003923.95104787,4733569.87936602,4736741.95680117,5999526.92050086,6003923.95104787,4733569.87936602,4736741.95680117
HOUR,1714708800,267,cadli,USDT-USD,1.00064562641712,1.00064746601122,1.00046106913557,1.00049300565567,1714708800,1714712399,1.00064554135879,1.00064746601122,1714708805,1.00046106913557,1714710434,1.00049300565567,2895,16792024.8323905,16797987.9044004,16367177.5619595,16372162.0568619,16792024.8323905,16797987.9044004,16367177.5619595,16372162.0568619
HOUR,1714712400,267,cadli,USDT-USD,1.00049300565567,1.00061642674091,1.00048911932572,1.00061642296231,1714712400,1714715997,1.00049302233215,1.00061642674091,1714715996,1.00048911932572,1714712401,1.00061642296231,2621,8725435.33005771,8732997.70514479,8352166.19138467,8358960.00264411,8725435.33005771,8732997.70514479,8352166.19138467,8358960.00264411
HOUR,1714716000,267,cadli,USDT-USD,1.00061642296231,1.00068638612483,1.00059578228102,1.00062610868317,1714716000,1714719599,1.0006181313338,1.00068638612483,1714717343,1.00059578228102,1714718851,1.00062610868317,3332,13108014.9489012,13115492.3802512,12476357.6750437,12482747.2966078,13108014.9489012,13115492.3802512,12476357.6750437,12482747.2966078
HOUR,1714719600,267,cadli,USDT-USD,1.00062610868317,1.00062615059698,1.00028085798723,1.000286184068,1714719600,1714723199,1.00062612171276,1.00062615059698,1714719602,1.00028085798723,1714723196,1.000286184068,3170,16752840.4040421,16760975.2074943,15211845.5869144,15219097.3337807,16752840.4040421,16760975.2074943,15211845.5869144,15219097.3337807
HOUR,1714723200,267,cadli,USDT-USD,1.000286184068,1.00033872690218,1.00027703957742,1.00030958744008,1714723200,1714726798,1.00028612651949,1.00033872690218,1714726732,1.00027703957742,1714724706,1.00030958744008,2629,11859851.1151048,11861870.7908968,11386938.0973562,11388025.4769713,11859851.1151048,11861870.7908968,11386938.0973562,11388025.4769713
HOUR,1714726800,267,cadli,USDT-USD,1.00030958744008,1.00041765087902,1.00027781782111,1.00030515972873,1714726800,1714730397,1.00031460950291,1.00041765087902,1714727568,1.00027781782111,1714730344,1.00030515972873,2530,10706566.6357052,10708763.3127453,10245119.5518697,10246523.1588903,10706566.6357052,10708763.3127453,10245119.5518697,10246523.1588903
HOUR,1714730400,267,cadli,USDT-USD,1.00030515972873,1.00043443427359,1.00025918517569,1.00029216964325,1714730400,1714733988,1.00030509239632,1.00043443427359,1714732863,1.00025918517569,1714731691,1.00029216964325,3039,16898355.7789079,16900908.6373292,16520164.4853539,16522001.7888388,16898355.7789078,16900908.6373292,16520164.4853539,16522001.7888388
HOUR,1714734000,267,cadli,USDT-USD,1.00029216964325,1.00033071447642,1.00022778202838,1.00023478142356,1714734000,1714737599,1.00029193355595,1.00033071447642,1714734373,1.00022778202838,1714737591,1.00023478142356,2730,12363402.613132,12365429.6838162,11957013.7153398,11958255.9659497,12363402.613132,12365429.6838162,11957013.7153398,11958255.9659497
HOUR,1714737600,267,cadli,USDT-USD,1.00023478142356,1.00040978470791,1.00014092512416,1.00030985644373,1714737600,1714741199,1.00023699079733,1.00040978470791,1714740828,1.00014092512416,1714739701,1.00030985644373,3128,28790984.3905939,28800254.2556767,28257214.0620161,28265683.1711337,28790984.3905938,28800254.2556767,28257214.0620161,28265683.1711337
HOUR,1714741200,267,cadli,USDT-USD,1.00030985644373,1.0005236895236,1.00027111960235,1.00052359098982,1714741200,1714744799,1.00030983356564,1.0005236895236,1714744797,1.00027111960235,1714741347,1.00052359098982,4538,43372611.029331,43390117.0029143,42911156.1260888,42927908.2749228,43372611.0293307,43390117.0029124,42911156.1260888,42927908.2749228
HOUR,1714744800,267,cadli,USDT-USD,1.00052359098982,1.00073030397937,1.00050299707408,1.00067412766927,1714744800,1714748399,1.00050299707408,1.00073030397937,1714748308,1.00050299707408,1714744800,1.00067412766927,4810,40524328.9929619,40549807.8532095,39616330.2708801,39640385.6089519,40524328.9929619,40549807.8532095,39616330.2708801,39640385.6089519
HOUR,1714748400,267,cadli,USDT-USD,1.00067412766927,1.00076753826363,1.00066576284374,1.00076753826363,1714748400,1714751998,1.0006741340519,1.00076753826363,1714751998,1.00066576284374,1714748401,1.00076753826363,3740,23234018.0952128,23252090.5683144,22779486.4081659,22796744.1088638,23234018.0952128,23252090.5683144,22779486.4081659,22796744.1088638
HOUR,1714752000,267,cadli,USDT-USD,1.00076753826363,1.000829556033,1.00069288994776,1.00077193943694,1714752000,1714755598,1.00076751744046,1.000829556033,1714754346,1.00069288994776,1714752672,1.00077193943694,3578,17933607.7871283,17941538.2293394,17425539.717322,17432511.9110237,17933607.7871283,17941538.2293394,17425539.717322,17432511.9110237
HOUR,1714755600,267,cadli,USDT-USD,1.00077193943694,1.00084473631709,1.00068643997035,1.00069267492156,1714755600,1714759196,1.00077190158953,1.00084473631709,1714757103,1.00068643997035,1714759163,1.00069267492156,2860,13058090.6296954,13063043.0167785,11983840.7392462,11987990.2227328,13058090.6296954,13063043.0167785,11983840.7392462,11987990.2227328
HOUR,1714759200,267,cadli,USDT-USD,1.00069267492156,1.0007342577774,1.00062530974785,1.00064971902105,1714759200,1714762798,1.00069260564236,1.0007342577774,1714760115,1.00062530974785,1714762757,1.00064971902105,2503,7744249.54194048,7746919.20549502,7080545.09689242,7082432.8251726,7744249.54194048,7746919.20549502,7080545.09689242,7082432.8251726
HOUR,1714762800,267,cadli,USDT-USD,1.00064971902105,1.00072331460003,1.00059624733629,1.0006966132413,1714762800,1714766398,1.00064967868394,1.00072331460003,1714766238,1.00059624733629,1714763534,1.0006966132413,2803,14111791.1625296,14116823.1826725,13475030.8633729,13479208.2627712,14111791.1625296,14116823.1826725,13475030.8633729,13479208.2627712
HOUR,1714766400,267,cadli,USDT-USD,1.0006966132413,1.00087309126397,1.00068642067091,1.00078740914778,1714766400,1714769998,1.00069657480113,1.00087309126397,1714767019,1.00068642067091,1714766402,1.00078740914778,3537,17607918.5847705,17618146.1787546,17069601.9592836,17078905.3815276,17607918.5847705,17618146.1787546,17069601.9592836,17078905.3815276
HOUR,1714770000,267,cadli,USDT-USD,1.00078740914778,1.00090652688805,1.00074300218876,1.00076035771235,1714770000,1714773599,1.00078713859275,1.00090652688805,1714771452,1.00074300218876,1714773082,1.00076035771235,2552,15110252.8902247,15119446.1394688,14656994.2425615,14665193.7261505,15110252.8902247,15119446.1394688,14656994.2425615,14665193.7261505
HOUR,1714773600,267,cadli,USDT-USD,1.00076035771235,1.00077885988198,1.00070439345126,1.00074850347205,1714773600,1714777199,1.0007603603964,1.00077885988198,1714776353,1.00070439345126,1714774021,1.00074850347205,2587,5775248.34900606,5779567.48041186,5387446.12022681,5390835.61480181,5775248.34900606,5779567.48041186,5387446.12022681,5390835.61480181
HOUR,1714777200,267,cadli,USDT-USD,1.00074850347205,1.00080379172671,1.00069368345245,1.00072676756584,1714777200,1714780799,1.0007484798601,1.00080379172671,1714778841,1.00069368345245,1714779069,1.00072676756584,3014,11080305.8832422,11086406.3064111,10689373.0568261,10694440.298834,11080305.8832422,11086406.3064111,10689373.0568261,10694440.298834
HOUR,1714780800,267,cadli,USDT-USD,1.00072676756584,1.00074521715261,1.00063539818989,1.00073718263646,1714780800,1714784399,1.00072676889869,1.00074521715261,1714784368,1.00063539818989,1714781384,1.00073718263646,2901,11404404.3411961,11410538.3394846,10835767.743338,10840546.9821836,11404404.3411961,11410538.3394846,10835767.743338,10840546.9821836
HOUR,1714784400,267,cadli,USDT-USD,1.00073718263646,1.00073721379477,1.00051151966385,1.00056051579761,1714784400,1714787999,1.00073718221118,1.00073721379477,1714784400,1.00051151966385,1714787540,1.00056051579761,2400,11310883.2639116,11316262.5466212,10807697.0152181,10811854.5217086,11310883.2639116,11316262.5466212,10807697.0152181,10811854.5217086
HOUR,1714788000,267,cadli,USDT-USD,1.00056051579761,1.00057523971015,1.00048319926482,1.00052742915257,1714788000,1714791598,1.00056051822293,1.00057523971015,1714788156,1.00048319926482,1714791427,1.00052742915257,1881,3987293.92443606,3989537.78825085,3529906.08877925,3531187.23508722,3987293.92443606,3989537.78825085,3529906.08877925,3531187.23508722
HOUR,1714791600,267,cadli,USDT-USD,1.00052742915257,1.00057381416509,1.0005039757221,1.0005737853213,1714791600,1714795193,1.00052737214701,1.00057381416509,1714795192,1.0005039757221,1714791926,1.0005737853213,1532,4487203.29057482,4489616.98607281,4023601.76926398,4025152.22487618,4487203.29057482,4489616.98607281,4023601.76926398,4025152.22487618
HOUR,1714795200,267,cadli,USDT-USD,1.0005737853213,1.00062745702803,1.00053396445639,1.00060635743804,1714795200,1714798799,1.00057358056243,1.00062745702803,1714797978,1.00053396445639,1714795562,1.00060635743804,1804,6795402.31360334,6799047.69589515,6396700.74026469,6399532.56406403,6795402.31360334,6799047.69589515,6396700.74026469,6399532.56406403
HOUR,1714798800,267,cadli,USDT-USD,1.00060635743804,1.00060635743804,1.00056197824437,1.00057918087374,1714798800,1714802394,1.00060632992184,1.00060632992184,1714798800,1.00056197824437,1714799078,1.00057918087374,1805,3425548.9012477,3427465.07115258,2840680.3774183,2841841.24618355,3425548.9012477,3427465.07115258,2840680.3774183,2841841.24618355
HOUR,1714802400,267,cadli,USDT-USD,1.00057918087374,1.00059400069819,1.00053532474089,1.00054615119,1714802400,1714805999,1.00057904435952,1.00059400069819,1714802646,1.00053532474089,1714805779,1.00054615119,2108,6221133.10117492,6223891.32691118,5769722.42922989,5771657.66728825,6221133.10117492,6223891.32691118,5769722.42922989,5771657.66728825
HOUR,1714806000,267,cadli,USDT-USD,1.00054615119,1.00056959541634,1.0004136347929,1.00045054228846,1714806000,1714809597,1.00054606621393,1.00056959541634,1714806244,1.0004136347929,1714808462,1.00045054228846,2197,9699858.17910173,9703102.04251535,9327180.24201858,9329577.85248782,9699858.17910173,9703102.04251535,9327180.24201858,9329577.85248782
HOUR,1714809600,267,cadli,USDT-USD,1.00045054228846,1.00045056658514,1.00040496656845,1.00041947459627,1714809600,1714813199,1.00045055283851,1.00045056658514,1714809600,1.00040496656845,1714812790,1.00041947459627,1726,3799422.4862454,3801327.87019799,3374774.4335023,3375745.54755551,3799422.4862454,3801327.87019799,3374774.4335023,3375745.54755551
HOUR,1714813200,267,cadli,USDT-USD,1.00041947459627,1.00044823211195,1.00032814912407,1.00034121613354,1714813200,1714816799,1.00041945875809,1.00044823211195,1714813518,1.00032814912407,1714816247,1.00034121613354,1577,9992868.01556793,9995947.43916476,9576578.86181314,9578785.23128067,9992868.01556793,9995947.43916476,9576578.86181314,9578785.23128067
HOUR,1714816800,267,cadli,USDT-USD,1.00034121613354,1.00035176986245,1.00025798096849,1.000307060007,1714816800,1714820398,1.0003411824086,1.00035176986245,1714816804,1.00025798096849,1714819802,1.000307060007,2837,17170614.1335401,17172416.5144325,16651141.9805213,16652380.8734403,17170614.1335401,17172416.5144322,16651141.9805213,16652380.8734403
HOUR,1714820400,267,cadli,USDT-USD,1.000307060007,1.0004487155968,1.00030163540446,1.00037980700904,1714820402,1714823999,1.00030892575256,1.0004487155968,1714823874,1.00030163540446,1714820603,1.00037980700904,2681,14352185.220315,14356183.0178427,13842870.6972895,13845996.8117209,14352185.220315,14356183.0178427,13842870.6972895,13845996.8117209
HOUR,1714824000,267,cadli,USDT-USD,1.00037980700904,1.00038088040461,1.00032892199591,1.00034641868862,1714824000,1714827598,1.00037978233289,1.00038088040461,1714824207,1.00032892199591,1714825559,1.00034641868862,2988,13182339.0647251,13185194.4187527,12744417.8933043,12746401.2035048,13182339.0647251,13185194.4187527,12744417.8933043,12746401.2035048
HOUR,1714827600,267,cadli,USDT-USD,1.00034641868862,1.00040296654047,1.00029433319106,1.00036120611215,1714827600,1714831197,1.00034002896048,1.00040296654047,1714829719,1.00029433319106,1714827603,1.00036120611215,2731,15149863.0099175,15154001.7524401,14750630.8441923,14754075.5260097,15149863.0099175,15154001.7524401,14750630.8441923,14754075.5260097
HOUR,1714831200,267,cadli,USDT-USD,1.00036120611215,1.00042045827999,1.00028442986954,1.00036518914189,1714831200,1714834794,1.00036120660598,1.00042045827999,1714833031,1.00028442986954,1714831581,1.00036518914189,2585,10134862.3219778,10138898.6091953,9665806.49021584,9668908.77891339,10134862.3219778,10138898.6091953,9665806.49021584,9668908.77891339
HOUR,1714834800,267,cadli,USDT-USD,1.00036518914189,1.00036533177193,1.00030422709381,1.00032162868377,1714834800,1714838399,1.00036525198192,1.00036533177193,1714834801,1.00030422709381,1714838113,1.00032162868377,2078,13064524.5937538,13068602.5419147,12592299.0799992,12595405.1549122,13064524.5937538,13068602.5419147,12592299.0799992,12595405.1549122
