UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT
HOUR,1721865600,267,cadli,USDT-USD,0.999995026270368,1.00002025249236,0.999901256421042,0.999983761854573,1721865600,1721869199,0.999995026971068,1.00002025249236,1721866166,0.999901256421042,1721868209,0.999983761854573,3603,16343319.7398977,16340914.0070378,16139067.5832467,16135986.0449527,16343319.7398977,16340914.0070378,16139067.5832467,16135986.0449527
HOUR,1721869200,267,cadli,USDT-USD,0.999983761854573,1.00019672672757,0.999964074098857,0.999970112056143,1721869200,1721872798,0.999983647987358,1.00019672672757,1721869847,0.999964074098857,1721872797,0.999970112056143,3486,25852150.5929203,25851513.4922995,24983997.3226276,24982918.9312121,25852150.5929201,25851513.4922997,24983997.3226276,24982918.9312121
HOUR,1721872800,267,cadli,USDT-USD,0.999970112056143,1.0000015732752,0.999887472054014,0.999914491828997,1721872800,1721876399,0.999970068555776,1.0000015732752,1721873978,0.999887472054014,1721876214,0.999914491828997,4033,14322512.9975745,14321467.2091762,13577540.1545366,13576468.8011103,14322512.9975745,14321467.2091762,13577540.1545366,13576468.8011103
HOUR,1721876400,267,cadli,USDT-USD,0.999914491828997,1.00006788694433,0.999906566444643,1.00004809437907,1721876400,1721879996,0.999914491860301,1.00006788694433,1721879855,0.999906566444643,1721876410,1.00004809437907,2969,13894615.8248806,13893495.8951721,13161207.2626057,13159976.9722462,13894615.8248806,13893495.8951721,13161207.2626057,13159976.9722462
HOUR,1721880000,267,cadli,USDT-USD,1.00004809437907,1.00007266521722,0.999895947432721,0.999962248299332,1721880000,1721883599,1.00004536966042,1.00007266521722,1721880527,0.999895947432721,1721882805,0.999962248299332,2693,13703724.4067931,13703171.8294851,13287426.0310112,13286358.7922087,13703724.4067931,13703171.8294851,13287426.0310112,13286358.7922087
HOUR,1721883600,267,cadli,USDT-USD,0.999962248299332,0.9999861770428,0.999877303707757,0.999916587072326,1721883600,1721887198,0.999968249850292,0.9999861770428,1721883872,0.999877303707757,1721884214,0.999916587072326,3271,26883312.5300677,26878744.0846525,26555419.6267165,26550359.2864329,26883312.5300677,26878744.0846525,26555419.6267165,26550359.2864329
HOUR,1721887200,267,cadli,USDT-USD,0.999916587072326,0.999960642752701,0.999849544238238,0.999903860156833,1721887200,1721890796,0.999922735063889,0.999960642752701,1721888083,0.999849544238238,1721890029,0.999903860156833,2808,13245089.5403781,13244746.9793531,12975422.8941018,12974388.5157885,13245089.5403781,13244746.9793531,12975422.8941018,12974388.5157885
HOUR,1721890800,267,cadli,USDT-USD,0.999903860156833,0.99992991630498,0.999836612406064,0.999865328364166,1721890800,1721894398,0.999903861057552,0.99992991630498,1721893878,0.999836612406064,1721894213,0.999865328364166,2571,10604436.5910591,10602673.3239587,9902043.476027,9899970.56573924,10604436.5910591,10602673.3239587,9902043.476027,9899970.56573924
HOUR,1721894400,267,cadli,USDT-USD,0.999865328364166,0.999869454333556,0.999687609323995,0.999695345093427,1721894401,1721897999,0.99986523273739,0.999869454333556,1721894402,0.999687609323995,1721897901,0.999695345093427,3025,20088507.4925602,20083985.9127457,19672174.5609621,19667460.0160638,20088507.4925602,20083985.9127457,19672174.5609621,19667460.0160638
HOUR,1721898000,267,cadli,USDT-USD,0.999695345093427,0.999774450799163,0.999646852680994,0.999738061167858,1721898000,1721901597,0.999695403704188,0.999774450799163,1721900530,0.999646852680994,1721898943,0.999738061167858,2243,10103791.1252454,10101583.7334328,9954020.18295874,9951171.52306831,10103791.1252454,10101583.7334328,9954020.18295874,9951171.52306831
