timestamp,close_price,volume_base,volume_quote,transaction_count,total_value_transferred_eth,unique_active_wallets,avg_gas_price_gwei,total_gas_used,market_cap
2024-05-01 00:00:00,2997.2957,87041.9491,261371774.23,50831,53248.2181,25482,8.219,4542529445,368786372970.94
2024-05-01 01:00:00,3000.8196,90117.9517,270160522.51,49831,75066.1618,26422,8.1389,4578797065,365982462109.58
2024-05-01 02:00:00,2985.5093,92728.8428,276314240.26,48229,29038.2851,25233,9.2955,4518099410,366599483316.34
2024-05-01 03:00:00,3001.9196,45859.1077,137276861.94,48785,27267.6164,27274,8.1441,4530654967,364123908980.91
2024-05-01 04:00:00,3003.8646,41604.4323,125051588.43,47804,35669.8495,26537,7.19,4541463899,365586020730.64
2024-05-01 05:00:00,2992.2338,61148.8662,183078531.24,46818,23924.5542,25218,7.4799,4527735659,366560413038.42
2024-05-01 06:00:00,2952.8314,93689.7612,278324178.69,49805,23264.6681,26463,7.6935,4553312046,364259666343.36
2024-05-01 07:00:00,2867.5894,368547.273,1066139942.37,49596,83393.7018,22182,22.0712,4633450219,361173148397.73
2024-05-01 08:00:00,2859.6975,271661.9017,773363629.76,49251,74381.28,22358,20.4277,4511887791,349561013898.27
2024-05-01 09:00:00,2874.1493,127704.8928,367313362.05,49242,92524.2244,22534,13.9404,4459155419,347497315867.98
2024-05-01 10:00:00,2892.6341,98350.6617,283069966.21,51996,78437.2494,25164,10.4457,4471107606,350733205690.4
2024-05-01 11:00:00,2902.7438,76798.5324,221974950.27,53536,42099.5731,25225,12.3152,4539091949,351741610771.56
2024-05-01 12:00:00,2916.1537,109659.2813,319927206.77,52727,39944.5413,24125,12.6333,4562878893,352937061471.57
2024-05-01 13:00:00,2888.2008,108426.9993,314103067.88,53057,36216.3404,24037,14.6052,4513804688,355824191750.39
2024-05-01 14:00:00,2904.2264,112142.2535,324540692.99,54147,527409.1332,24823,12.8747,4527129514,352295565026.47
2024-05-01 15:00:00,2883.0208,132786.8622,382718889.15,53522,57303.3734,24355,11.9985,4532627922,353228260853.78
2024-05-01 16:00:00,2889.4414,110188.1236,318505791.01,53155,53929.4745,24113,12.3405,4565432628,350969311888.34
2024-05-01 17:00:00,2920.7875,112267.7705,325351451.95,51266,49975.5891,23570,16.3128,4523273691,352794488635.14
2024-05-01 18:00:00,2990.0686,308254.3924,915891467.57,50922,50048.8114,22378,17.8667,4651928830,354673891666.62
2024-05-01 19:00:00,2925.107,221283.2439,652267929.94,49386,63876.5884,21980,17.1872,4459492760,364710886771.58
2024-05-01 20:00:00,2940.3302,105269.5055,308752066.02,49795,48053.4086,23363,11.1752,4482941386,357346874936.77
2024-05-01 21:00:00,2966.17,76108.2324,224909534.87,49734,25479.7079,24330,8.9738,4523667014,358819788662.49
2024-05-01 22:00:00,2967.9779,70106.991,208254981.21,46768,31426.82,23251,7.2566,4552558786,361961859611.71
2024-05-01 23:00:00,2971.1578,67445.1574,200438035.43,46423,14816.6038,24793,6.2214,4568799357,362188972182.04
2024-05-02 00:00:00,2947.5852,68867.9318,203952612.32,46619,19784.0181,24704,6.8238,4512793203,364276973974.75
2024-05-02 01:00:00,2905.4601,111094.2636,324371074.61,47028,27487.6252,24418,8.8225,4500709266,359924892769.84
2024-05-02 02:00:00,2917.0471,86947.9272,253289293.61,47036,59520.5448,25627,7.0086,4550477735,355701554200.52
2024-05-02 03:00:00,2928.585,45698.5247,133735860.86,47376,45184.8925,25480,7.4488,4550407046,355872308651.1
2024-05-02 04:00:00,2921.4791,44843.6898,131344083.02,48413,35736.5768,25702,6.5779,4533835221,357425597473.74
2024-05-02 05:00:00,2915.5216,57961.0065,168700995.25,50972,32434.8529,27529,6.8918,4555293384,357155825438.81
2024-05-02 06:00:00,2914.5255,53099.6351,154874776.96,47964,65496.0436,24951,8.8064,4547584287,349906471106.15
2024-05-02 07:00:00,2921.1303,56021.2046,163910738.4,50906,28013.7418,26260,8.4392,4488822637,349780387044.34
2024-05-02 08:00:00,2941.5737,65161.528,191261986.87,52503,26051.2966,26254,9.2576,4571088206,350894205272.51
2024-05-02 09:00:00,2946.1602,47239.1399,139013390.48,53981,56887.5033,25752,9.9772,4508673538,353031882193.37
2024-05-02 10:00:00,2965.2005,91497.8201,270182404.37,54310,27334.4887,26577,8.3414,4529379919,353560506009.05
2024-05-02 11:00:00,2996.101,206785.3229,618318916.26,53882,47097.0784,25336,9.4634,4553740353,354772862897.52
2024-05-02 12:00:00,2984.0354,134530.4169,403192541.83,54955,76051.5968,25769,16.6825,4572829922,359509525724.44
2024-05-02 13:00:00,2967.1616,122116.4677,363367842.51,56526,71624.0459,27005,12.6855,4476161035,358932594084.45
2024-05-02 14:00:00,2993.8663,148967.1514,443490301.65,57637,35071.625,27392,15.9579,4563501713,356188407598.49
2024-05-02 15:00:00,2992.1222,114905.3572,344304645.53,55362,50920.2475,26137,18.6429,4509581176,359000682917.92
2024-05-02 16:00:00,2983.6153,81260.0937,242726678.09,53180,51289.5341,23256,18.1134,4517861950,359111812894.16
2024-05-02 17:00:00,2995.1421,63818.4733,190813107.57,52134,53682.5817,23420,15.6689,4438483083,358305497215.07
2024-05-02 18:00:00,2994.4976,89001.7555,266249091.53,53026,75154.1653,26192,9.8306,4476999187,358410217389.38
2024-05-02 19:00:00,3001.6762,59623.9945,178322211.73,50307,29556.3075,24195,9.1693,4500472494,359749095515.03
2024-05-02 20:00:00,2988.554,86868.2249,259660381.99,48590,37457.892,22515,9.36,4479137953,359974794599.89
2024-05-02 21:00:00,2998.1174,60195.393,180640988.94,49080,35452.2497,23889,7.942,4532302034,358398109096.93
2024-05-02 22:00:00,2999.6285,73291.4079,220159622.19,45856,42678.5021,22490,7.016,4497202724,360060611021.55
2024-05-02 23:00:00,2988.7556,39665.0317,118735294.4,46053,21419.4094,23102,6.9612,4531160211,360260985332.36
2024-05-03 00:00:00,2985.9678,51710.6878,154502397.7,46017,27885.5334,23328,7.0098,4565182187,358656461888.65
2024-05-03 01:00:00,3009.5237,85252.1243,256338341.87,46611,25411.3701,23444,7.8325,4583826612,358549803515.04
2024-05-03 02:00:00,3015.0304,92280.0176,278933778.79,47143,19368.838,23899,8.4911,4488606496,361067369183.66
2024-05-03 03:00:00,3013.301,64514.2685,194919142.07,47269,20605.9535,23463,7.3171,4526004779,361677211618.14
2024-05-03 04:00:00,3006.6035,48442.5667,145871317.42,45231,30853.5115,22747,7.905,4527812187,361920490049.48
2024-05-03 05:00:00,3000.5041,44231.6159,132868121.51,45480,47825.9173,22180,7.8272,4490235947,360477603181.17
2024-05-03 06:00:00,2985.5067,58431.8555,174865536.56,49863,20219.7506,24674,7.8403,4576763312,360306627023.84
2024-05-03 07:00:00,2971.3362,80133.4816,238688753.47,51401,43323.4391,24028,9.0576,4552527960,358524981425.28
2024-05-03 08:00:00,2974.5564,53126.9609,158174524.01,52540,28407.6211,25473,8.1197,4523734896,355896458801.44
2024-05-03 09:00:00,2985.8163,47734.2307,142454412.79,50827,30307.137,23692,16.0974,4498932240,356874431646.47
2024-05-03 10:00:00,2973.5337,66322.1068,197284786.33,51325,32512.2116,24151,8.1944,4482224834,358908407486.08
2024-05-03 11:00:00,2981.7266,74264.1927,220916574.96,51377,44378.098,24235,7.974,4540959255,356695194658.34
2024-05-03 12:00:00,3037.8381,202822.5414,612211514.86,50405,48707.484,22323,13.0278,4588368764,357283072039.16
2024-05-03 13:00:00,3064.0612,231046.5418,705281525.83,50762,75646.677,22412,16.1718,4495207489,363209781103.56
2024-05-03 14:00:00,3058.8724,139855.8917,428060306.55,54383,87393.6716,24415,14.7303,4495719842,367644851977.76
2024-05-03 15:00:00,3079.7725,103617.4391,317946205.38,53229,80748.3003,24111,16.4304,4485088846,367008389747.09
2024-05-03 16:00:00,3071.8918,88520.8383,272771514.49,52338,81069.945,23544,12.9572,4501167226,370035593460.42
2024-05-03 17:00:00,3083.6113,50946.4704,156768831.86,50891,38355.0282,23903,11.4186,4505139832,368521475878.12
2024-05-03 18:00:00,3073.0199,42112.9247,129610876.37,53567,30457.4618,26378,7.3978,4521256456,369797188593.75
2024-05-03 19:00:00,3076.8657,44662.0378,137168404.3,54016,23386.2158,26275,6.8359,4513290243,368823738997.08
2024-05-03 20:00:00,3117.0924,122938.194,381874290.32,50380,29149.5411,23495,9.2713,4603154567,369334224357.19
2024-05-03 21:00:00,3113.9105,48011.034,149431129.54,49367,28923.4974,23266,8.3393,4443050104,373891757568.38
2024-05-03 22:00:00,3112.4522,50066.2911,155978882.58,46544,35978.1138,22797,6.7827,4511020980,373222405718.66
2024-05-03 23:00:00,3106.9932,45558.0311,141884033.49,43642,30815.324,21139,7.1702,4510060417,373568010834.31
2024-05-04 00:00:00,3122.0198,48077.6802,149945524.25,43618,16325.2924,21319,7.4165,4580392273,373187731785.71
2024-05-04 01:00:00,3110.1782,59165.162,184731564.02,43834,28111.1312,21627,7.7004,4570435270,375314767323.99
2024-05-04 02:00:00,3104.4091,43639.8685,135538283.14,44474,22715.0347,22726,7.654,4606584208,374014908265.91
2024-05-04 03:00:00,3115.5014,34209.2845,106438215.72,43978,18529.2341,23924,7.3644,4495309833,372551732737.93
2024-05-04 04:00:00,3121.2596,46661.4617,145416006.17,45867,24511.0256,25799,6.9634,4452839125,373284434563.14
2024-05-04 05:00:00,3122.8092,39381.4784,122790626.4,48248,22102.7539,26068,6.2974,4566009596,374726755452.94
2024-05-04 06:00:00,3110.1978,32648.1455,101727294.64,46969,16860.5601,23102,8.2579,4524530746,373709158913.94
2024-05-04 07:00:00,3099.9948,33468.303,103920779.85,47557,23009.3506,23106,8.7416,4546814515,373092891401.94
2024-05-04 08:00:00,3111.6766,28043.0539,87150398.28,47648,20736.3169,24481,7.2866,4539618708,371986388967.47
2024-05-04 09:00:00,3109.4296,25457.1055,79189211.79,48080,33183.2736,24580,7.4236,4512694591,373688114251.78
2024-05-04 10:00:00,3168.2471,94174.5388,295320763.74,45549,17285.927,22065,8.2095,4581770337,372905164190.08
2024-05-04 11:00:00,3133.5603,107094.6694,337468996.67,47435,38355.3363,22910,9.1668,4497485139,377002237557.38
2024-05-04 12:00:00,3154.3855,53633.4234,168619173.68,48911,22261.2069,23512,8.5491,4528058349,377665395731.86
2024-05-04 13:00:00,3133.0917,77752.2015,244001991.5,50243,20957.5629,22520,11.0558,4546731428,379006198932.94
2024-05-04 14:00:00,3133.8002,40224.501,125916029.97,50816,35087.5375,24287,8.9696,4484630340,376137416669.95
2024-05-04 15:00:00,3128.2282,39912.8199,124744890.09,49193,24642.4909,23675,8.6825,4475625871,376725626352.13
2024-05-04 16:00:00,3129.2678,39887.6938,124603420.34,51286,21769.4738,23414,9.1189,4547738770,375469485248.8
2024-05-04 17:00:00,3124.971,40210.1842,125658904.55,51964,26632.5783,25442,8.0067,4505624512,375489706392.7
2024-05-04 18:00:00,3127.3246,29223.5771,91367610.92,53385,17750.7295,26994,6.5063,4523774641,375240814893.0
2024-05-04 19:00:00,3140.2412,31285.9841,97881710.01,55500,13049.0758,25413,10.9851,4542687742,375487702471.55
2024-05-04 20:00:00,3130.5054,39682.7204,124560315.18,51552,15542.7355,25204,7.2891,4520283307,375727834690.24
2024-05-04 21:00:00,3122.3904,44349.4183,138379039.43,48145,19571.3636,24929,6.5532,4539806486,375815962305.68
2024-05-04 22:00:00,3108.5792,33890.018,105557505.17,49164,16108.089,25897,5.7935,4512858357,374653835185.37
2024-05-04 23:00:00,3118.0542,24049.6614,74909843.25,49657,10245.3386,28572,5.6695,4566457630,373440941421.25
2024-05-05 00:00:00,3109.3885,89393.0125,277771050.28,44507,17093.7609,23380,6.1633,4581708621,374188248701.18
2024-05-05 01:00:00,3091.2298,96432.8162,298024930.78,49709,20226.9657,28869,6.0497,4543473359,373073502199.07
2024-05-05 02:00:00,3082.3708,35978.1879,111195060.11,45610,14224.8969,24082,6.2315,4524969442,371127324451.4
2024-05-05 03:00:00,3087.7168,39573.5056,121999780.85,43624,10684.0072,23240,5.9723,4535215127,370126412613.27
2024-05-05 04:00:00,3089.9785,29387.588,90848131.16,43715,19011.7994,23756,6.0858,4500486300,370649697222.14
2024-05-05 05:00:00,3086.5045,28929.3784,89421663.49,46079,36665.8406,24082,6.3716,4541921199,370912011167.52
2024-05-05 06:00:00,3093.4634,22813.9808,70527210.3,44326,16330.1306,22107,6.9733,4511969991,370799730549.83
2024-05-05 07:00:00,3106.6764,45621.557,141707574.97,46802,17217.6996,23632,7.0177,4544664786,371499282156.59
2024-05-05 08:00:00,3156.9276,122382.7509,384702549.83,48378,26955.5991,22770,7.8734,4553123152,373499153392.14
2024-05-05 09:00:00,3144.7463,67703.6575,212730396.01,48157,50489.6205,22694,8.5311,4512377217,379277784674.78
2024-05-05 10:00:00,3135.225,44253.7027,138955784.17,47237,45425.9176,22478,7.943,4536511017,377649282257.78
2024-05-05 11:00:00,3138.4663,33575.8537,105310435.65,47808,22026.3707,25002,7.3722,4522228923,376163264765.99
2024-05-05 12:00:00,3138.1073,27522.3274,86311005.57,48379,17065.5636,24372,8.293,4517572264,377216467816.95
2024-05-05 13:00:00,3148.5165,70915.0708,222959223.33,48957,20342.8123,23494,8.5394,4536707663,376517297555.47
