timestamp,transaction_count,total_value_transferred_btc,avg_fee_btc,total_size_used_mb
2024-03-04 23:00:00,23465,101835.5119,0.00038235,18.1334
2024-03-05 00:00:00,20130,50896.7026,0.00039897,19.9469
2024-03-05 01:00:00,4628,10180.5788,0.00036263,4.1724
2024-03-05 02:00:00,19663,92922.4084,0.00038949,15.4466
2024-03-05 03:00:00,10356,20494.3444,0.00033198,6.8969
2024-03-05 04:00:00,31201,116162.4679,0.0002212,18.5151
2024-03-05 05:00:00,17334,33171.5182,0.00021488,10.2857
2024-03-05 06:00:00,19918,52795.4974,0.00034975,21.3565
2024-03-05 07:00:00,15818,30626.0047,0.00018619,10.6446
2024-03-05 08:00:00,12024,40688.8152,0.0002153,6.933
2024-03-05 09:00:00,16418,27651.0857,0.00019627,10.2884
2024-03-05 10:00:00,18610,45968.9137,0.00020918,12.1604
2024-03-05 11:00:00,11736,23165.4777,0.00018534,6.7767
2024-03-05 12:00:00,24110,60720.0384,0.00016684,15.5824
2024-03-05 13:00:00,17554,67542.2125,0.0001925,10.5726
2024-03-05 14:00:00,24333,82365.1985,0.00016004,15.7442
2024-03-05 15:00:00,21174,142973.2121,0.00017941,11.8904
2024-03-05 16:00:00,22628,120674.1658,0.00020007,13.5123
2024-03-05 17:00:00,5485,16951.4077,0.00028556,3.6662
2024-03-05 18:00:00,21077,139180.9983,0.00036541,13.9588
2024-03-05 19:00:00,22136,88338.1591,0.00029103,15.8633
2024-03-05 20:00:00,14798,125585.4368,0.00030742,11.0174
2024-03-05 21:00:00,20653,129919.1147,0.00022615,14.561
2024-03-05 22:00:00,7990,53280.2537,0.00015591,5.2487
2024-03-05 23:00:00,24406,103891.2484,0.00017171,13.1115
2024-03-06 00:00:00,17919,62618.6094,0.00016717,13.9078
2024-03-06 01:00:00,18526,73402.5539,0.00013787,12.8463
2024-03-06 02:00:00,21094,57349.8895,0.00011927,16.4355
2024-03-06 03:00:00,12805,47208.7523,0.00014251,8.9718
2024-03-06 04:00:00,11885,66124.047,0.00015263,9.5694
2024-03-06 05:00:00,15161,29816.6343,0.00014208,10.8744
2024-03-06 06:00:00,12946,33459.731,0.00021604,9.2818
2024-03-06 07:00:00,8942,59520.0208,0.00024781,4.8714
2024-03-06 08:00:00,9370,35184.8725,0.00021182,5.0578
2024-03-06 09:00:00,15800,31945.9894,0.00021894,9.6676
2024-03-06 10:00:00,18949,160394.3152,0.00019298,12.5272
2024-03-06 11:00:00,18333,25802.5699,0.00015745,12.6355
2024-03-06 12:00:00,3386,10488.7358,0.00019633,1.8385
2024-03-06 13:00:00,17282,94075.0879,0.00023754,8.0642
2024-03-06 14:00:00,15321,60537.0955,0.00021242,9.9821
2024-03-06 15:00:00,16471,45993.7172,0.00018187,11.531
2024-03-06 16:00:00,16247,88941.4052,0.00022824,7.9243
2024-03-06 17:00:00,15117,50140.358,0.00020842,8.5589
2024-03-06 18:00:00,13001,64769.3567,0.00022567,6.3217
2024-03-06 19:00:00,17753,62267.106,0.00019876,10.348
2024-03-06 20:00:00,17729,31065.7676,0.00015088,11.1113
2024-03-06 21:00:00,19548,97056.8642,0.00014572,10.2619
2024-03-06 22:00:00,20085,79571.9016,0.00016451,14.7983
2024-03-06 23:00:00,28124,52663.6107,0.00012323,23.8824
2024-03-07 00:00:00,11903,69529.2437,0.0001346,9.1644
2024-03-07 01:00:00,21321,36645.8885,0.00011081,17.27
2024-03-07 02:00:00,22826,44073.0694,9.64e-05,16.7483
2024-03-07 03:00:00,22093,23688.8493,0.00011373,23.1513
2024-03-07 04:00:00,16513,35232.9598,0.00010312,10.4021
