timestamp,close_price,volume_base,volume_quote,transaction_count,total_value_transferred_btc,avg_fee_btc,total_size_used_mb,unique_active_wallets,market_cap
2024-05-01 00:00:00,60208.817,8511.2535,514130295.19,27131,41488.3624,6.403e-05,11.7035,50034,1192805536002.73
2024-05-01 01:00:00,60095.5002,8853.2447,532178009.38,25263,29720.9307,6.295e-05,11.459,39480,1185495838919.14
2024-05-01 02:00:00,59886.5202,8690.0466,519349108.82,21228,29104.3936,6.046e-05,7.82,37710,1183923864597.1
2024-05-01 03:00:00,60206.0485,5206.5224,312751348.39,19018,62407.2166,6.96e-05,8.3795,42124,1179126534503.09
2024-05-01 04:00:00,60241.4675,4977.9718,299829921.75,26684,44802.0762,5.741e-05,11.0749,36411,1185334006215.85
2024-05-01 05:00:00,60005.2504,5928.1266,356062857.88,11898,26359.225,9.173e-05,4.5227,27976,1185417357507.04
2024-05-01 06:00:00,59501.2836,7846.8091,468895266.34,17902,27977.1218,8.176e-05,7.7468,42564,1180280723960.1
2024-05-01 07:00:00,57466.2288,48781.7905,2831901911.85,18476,80240.6812,8.235e-05,7.7279,46975,1174252126746.05
2024-05-01 08:00:00,57103.0541,34919.7273,1990813792.08,36958,77431.8478,6.185e-05,14.1263,59083,1129261524651.08
2024-05-01 09:00:00,57096.7474,14509.3452,830822365.41,36684,38395.1546,5.359e-05,13.1422,48869,1119473517526.49
2024-05-01 10:00:00,57742.014,12538.6292,718328818.37,12715,18916.7138,8.595e-05,6.2788,35793,1124032176272.97
2024-05-01 11:00:00,57863.2067,9468.6985,545853020.7,31316,28186.5037,5.342e-05,11.2318,46409,1135652253497.87
2024-05-01 12:00:00,57957.0069,13473.2905,781698763.95,13235,42602.4409,9.285e-05,6.2478,42822,1137020480361.4
2024-05-01 13:00:00,57266.6583,14835.2624,853842968.01,21062,23306.4311,6.752e-05,8.1917,42829,1141646622222.66
2024-05-01 14:00:00,57452.746,13932.6321,798694219.87,20114,49466.284,6.84e-05,8.0771,43603,1127175747939.33
2024-05-01 15:00:00,56847.284,15738.8525,896544356.42,7662,29615.0908,0.0001106,5.5962,28164,1130854046324.15
2024-05-01 16:00:00,57016.0625,12719.065,725618389.43,14425,40352.1429,0.00013416,8.0158,57971,1117079442086.82
2024-05-01 17:00:00,57444.1729,12537.0473,716268179.87,14367,28339.9183,9.242e-05,6.4606,44408,1122882872534.09
2024-05-01 18:00:00,58920.4712,34107.5721,1989254441.19,14489,31756.3307,0.00011045,7.6542,48193,1128196907052.71
2024-05-01 19:00:00,56969.0563,33312.4794,1927567662.97,34778,28704.8885,7.22e-05,16.7907,78233,1159929805290.69
2024-05-01 20:00:00,57351.0524,14766.4387,844414877.76,24311,20379.1427,6.547e-05,13.121,47450,1119573521582.28
2024-05-01 21:00:00,57876.1516,8431.0135,486571864.7,2616,19620.2194,0.00020248,1.4498,16978,1129606548977.7
2024-05-01 22:00:00,57861.328,8013.7373,464579982.92,8376,40452.3017,0.00015148,4.6938,37230,1140444158715.6
2024-05-01 23:00:00,58340.8647,10624.8875,618308639.79,18041,25434.7819,0.00019831,11.5243,71664,1141638632316.82
