timestamp,close_price,volume_base,volume_quote,transaction_count,total_value_transferred_btc,avg_fee_btc,total_size_used_mb,unique_active_wallets
2024-03-01 00:00:00,61530.5171,9485.9533,583242332.62,19128,45836.3439,0.00014931,12.3026,57861
2024-03-01 01:00:00,61216.8749,8838.3047,542386721.68,20342,25655.0604,0.00011306,14.6744,69784
2024-03-01 02:00:00,60998.373,9968.8738,607817913.89,15213,99651.9032,0.00013606,9.7984,53950
2024-03-01 03:00:00,61127.4822,7364.914,449229390.99,16879,34767.7652,0.00010439,12.1912,57772
2024-03-01 04:00:00,61514.6985,6699.9873,410733181.96,20392,54253.1388,9.31e-05,12.1804,64650
2024-03-01 05:00:00,61318.981,5644.1101,346841421.75,26561,22052.3084,8.179e-05,15.4412,56208
2024-03-01 06:00:00,61559.0838,7750.7283,477054111.96,5893,28130.6554,0.0001364,3.4159,21257
2024-03-01 07:00:00,61448.3905,10691.0478,658213904.15,15116,49223.8169,0.00019175,9.5314,55760
2024-03-01 08:00:00,61946.1946,13296.5119,823042079.96,9083,34943.8422,0.00016751,4.5688,31137
2024-03-01 09:00:00,62191.5375,8252.1823,512800256.04,12496,36594.6553,0.00013953,6.4383,38909
2024-03-01 10:00:00,62044.1451,7961.6537,494314264.96,16732,51166.1783,0.00016879,9.8715,59526
2024-03-01 11:00:00,61902.4797,7136.0317,442431825.66,24556,40859.3071,0.00010164,13.9912,65526
2024-03-01 12:00:00,62267.4823,12265.0822,764282421.87,26213,33058.1174,0.00010287,19.6858,85010
2024-03-01 13:00:00,62468.1884,10396.9791,649688540.68,3241,10664.7884,0.00024258,1.5478,15693
2024-03-01 14:00:00,61964.2786,17374.9407,1078008349.42,27591,98237.7025,0.00015348,18.1645,83981
2024-03-01 15:00:00,61273.3753,18510.1089,1141658253.06,16844,64907.8311,0.00017104,9.9612,60810
2024-03-01 16:00:00,61451.6483,14018.6376,861165522.76,27256,61047.2561,0.00012713,19.8886,100721
2024-03-01 17:00:00,61918.0672,11663.1772,721230349.92,20603,55747.2175,0.00011734,11.6256,69295
2024-03-01 18:00:00,62349.5842,11550.5476,718507975.94,22529,64475.2897,0.00012565,13.0958,79238
2024-03-01 19:00:00,62228.4559,8960.7616,557285839.73,9490,40751.2489,0.00012726,6.7242,36834
2024-03-01 20:00:00,63037.0373,16904.326,1058734564.49,12430,66052.7386,0.00014572,6.4858,49424
2024-03-01 21:00:00,62581.2388,14820.3688,929055315.14,17804,87747.0535,0.00018135,9.6997,71858
2024-03-01 22:00:00,62580.2968,6872.2471,429659026.22,11872,30775.652,0.0003311,9.3095,40931
2024-03-01 23:00:00,62426.9904,8066.7034,504720123.97,20866,47066.9932,0.00020709,13.5182,81729
2024-03-02 00:00:00,62335.8807,8238.2429,513357104.58,11320,34312.8496,0.00014412,8.6299,47003
2024-03-02 01:00:00,62081.2428,7244.8291,450263013.01,8824,22129.3064,0.00018043,4.85,36047
2024-03-02 02:00:00,62164.1645,6312.2824,392073478.72,13425,28842.0145,0.00013589,8.2465,46268
2024-03-02 03:00:00,62361.0489,7141.7619,444767922.49,13910,21644.0166,0.00013683,9.7867,42466
2024-03-02 04:00:00,62120.9831,6478.5559,403197400.87,11985,18914.6335,0.00011611,8.491,48239
2024-03-02 05:00:00,62088.7343,7067.6753,438148120.93,19498,17004.8109,9.51e-05,14.4654,60201
2024-03-02 06:00:00,62035.7111,5623.774,349708226.25,9216,11801.2285,0.00012082,4.9832,29989
2024-03-02 07:00:00,62096.527,6019.5777,373118327.55,17154,17561.0277,0.00011949,14.1956,62781
2024-03-02 08:00:00,62030.8513,5738.4468,355934141.64,8647,22383.8994,0.00011079,4.8473,27419
2024-03-02 09:00:00,61902.7913,7440.7011,460414838.18,15895,21189.0296,0.00010348,8.1984,46358
2024-03-02 10:00:00,61983.6353,5048.795,313044357.52,15501,18830.437,0.00010476,9.8586,49984
2024-03-02 11:00:00,61929.6892,4150.3098,257342362.33,15611,18030.3318,9.369e-05,8.8858,46408
2024-03-02 12:00:00,62160.1123,4542.1384,281996175.1,25830,47203.7443,8.783e-05,17.9896,71016
2024-03-02 13:00:00,61886.8934,4497.658,278839894.07,14825,24184.0363,9.416e-05,10.1993,49299
2024-03-02 14:00:00,61877.5616,8910.8637,550807213.33,12504,30501.3159,0.00010353,6.4341,40075
2024-03-02 15:00:00,61825.2977,5758.4782,356572698.79,9703,31828.9832,0.000132,4.7917,35584
2024-03-02 16:00:00,61910.4255,4816.9819,297767815.27,10120,27177.7302,0.00013978,6.2934,44858
2024-03-02 17:00:00,61831.4241,3962.6917,245352201.72,13917,30499.8805,0.00022004,10.5415,45672
2024-03-02 18:00:00,62079.2278,3530.0018,218742075.53,21622,32847.6162,0.00011289,11.1236,65959
2024-03-02 19:00:00,62178.0932,4200.3234,260790454.77,11776,20667.1323,0.00012288,6.4097,42380
2024-03-02 20:00:00,61938.4617,5861.114,363176584.26,17243,30229.9891,0.00014235,10.2807,59685
2024-03-02 21:00:00,61977.9154,2974.3242,184287670.55,8380,9144.68,0.0001499,5.8552,24253
2024-03-02 22:00:00,61755.3798,2364.0177,146358399.73,24281,46110.1354,0.00014373,16.5573,75167
2024-03-02 23:00:00,62053.6953,4678.2413,290081299.59,7997,13463.9642,0.00014436,5.6642,29601
2024-03-03 00:00:00,61805.0309,5339.2197,330431576.53,19676,59206.8813,0.00010869,13.0826,60328
2024-03-03 01:00:00,61848.8565,3341.8859,206682499.06,22227,33561.4524,8.828e-05,16.3833,66469
2024-03-03 02:00:00,61856.2504,3153.7806,194813905.44,14117,13434.7112,0.00010044,13.1402,50432
2024-03-03 03:00:00,61983.3529,3878.9072,240320568.31,19134,20231.8472,8.767e-05,14.6479,47725
2024-03-03 04:00:00,62070.4531,4127.7585,256164387.61,12324,35487.6043,0.00013701,13.0504,48102
2024-03-03 05:00:00,61951.6101,3420.9694,212027306.45,10322,12585.1901,0.00010423,8.6041,30500
2024-03-03 06:00:00,61912.9153,4750.1594,294177264.86,18659,29181.674,8.945e-05,13.6032,42456
2024-03-03 07:00:00,61690.8949,11348.2658,699711570.36,18943,33180.2433,9.289e-05,14.5353,55482
2024-03-03 08:00:00,61657.3385,8544.5631,526428511.48,18019,55798.7672,0.00017029,21.62,65345
2024-03-03 09:00:00,61760.5616,5836.7078,360710916.2,15423,28532.8922,8.41e-05,8.3721,37794
2024-03-03 10:00:00,61709.9138,3712.1057,229194330.67,15208,17539.6202,0.00011364,13.0136,39931
2024-03-03 11:00:00,61877.9899,2740.0853,169266377.71,17207,17124.4236,9.399e-05,13.5721,42476
2024-03-03 12:00:00,62245.3829,16521.3303,1029979996.95,17262,33563.4711,8.744e-05,12.6559,55992
2024-03-03 13:00:00,62436.9473,8590.1485,534560452.48,12781,21284.7421,0.00012079,8.9765,39563
2024-03-03 14:00:00,62227.4264,6327.0266,394174695.61,28136,37337.3043,9.92e-05,23.0929,68447
2024-03-03 15:00:00,62235.4804,4495.5058,279690415.86,8088,15683.6117,0.00012522,6.0202,24450
2024-03-03 16:00:00,62850.8356,10958.1261,685598556.72,5861,22793.1148,0.00015225,3.2827,20695
2024-03-03 17:00:00,62614.1681,10200.0277,640392491.18,14835,39500.2482,0.0002052,11.4209,50181
2024-03-03 18:00:00,62846.0451,5298.5849,332553272.17,12103,21753.68,0.00020094,9.4209,40545
2024-03-03 19:00:00,62764.1327,4333.0546,272019476.18,8196,10450.9415,0.00019745,4.9304,32263
2024-03-03 20:00:00,62790.7998,4156.9568,260894521.21,35485,27476.9009,0.0001378,28.387,107967
2024-03-03 21:00:00,62852.3915,3810.8564,239182849.05,21918,19368.6264,9.099e-05,15.7884,62296
2024-03-03 22:00:00,62841.9097,9796.1114,617438246.67,7764,14920.3604,0.00021348,5.0219,36539
2024-03-03 23:00:00,63174.9873,7372.4268,463883215.48,11604,16032.0439,0.00014228,7.2199,36156
2024-03-04 00:00:00,63450.5294,32143.0771,2041486631.97,2533,22037.5023,0.00024767,1.6579,12646
2024-03-04 01:00:00,63569.3969,15105.9497,960402382.63,8540,20687.8016,0.00020836,5.1123,30645
2024-03-04 02:00:00,63725.4247,13529.3711,860025263.97,11399,42048.7785,0.00021245,6.5846,39880
2024-03-04 03:00:00,63504.9223,8555.5777,544081509.27,9663,20376.5991,0.00018932,5.0558,30087
2024-03-04 04:00:00,63681.2639,7186.3564,457266257.47,18061,52916.26,0.00019412,9.8503,47707
2024-03-04 05:00:00,63404.1554,7214.2942,457791570.57,15191,32303.4854,0.0001814,9.6406,34888
2024-03-04 06:00:00,63747.7859,7031.3994,447351454.87,21992,42229.078,0.00016516,13.9353,74319
2024-03-04 07:00:00,64121.6548,12612.524,806848318.11,24716,36142.0533,0.00015423,16.1541,63565
2024-03-04 08:00:00,65263.8787,33747.8292,2192074108.2,15183,24579.8928,0.00015851,9.033,39886
2024-03-04 09:00:00,65362.9858,20319.8826,1324955530.33,21490,28030.9784,0.00015763,11.6995,51231
2024-03-04 10:00:00,65148.444,15149.0705,985551059.29,17257,39813.3709,0.00017184,10.2014,50339
2024-03-04 11:00:00,65245.258,8807.0975,573149493.33,10614,21572.7033,0.00014744,5.25,27155
2024-03-04 12:00:00,65180.0691,8603.2234,560109253.74,24245,75038.5704,0.00019968,15.459,84384
2024-03-04 13:00:00,65157.5401,14557.4544,952186538.4,16962,54671.5032,0.00017762,8.546,42735
2024-03-04 14:00:00,66273.9729,37014.2004,2431137051.48,23874,95424.6711,0.0001958,14.4903,76980
2024-03-04 15:00:00,66481.0872,22270.0356,1476047006.24,8375,89577.7358,0.00033931,8.661,58460
2024-03-04 16:00:00,66606.1674,22582.9109,1502567765.35,8538,38168.0108,0.000207,4.9928,31477
2024-03-04 17:00:00,67048.3435,29736.3329,1993300579.08,5077,45084.7656,0.00037049,3.2551,27941
