timestamp,close_price,volume_base,volume_quote,transaction_count,total_value_transferred_doge,avg_fee_doge,total_size_used_bytes,market_cap
2024-05-01 00:00:00,0.1316526162,286290192.8032,38105119.66,4731,667491639.03,0.230494,1593843,19192308163.21
2024-05-01 01:00:00,0.1313047381,402256743.7644,52859312.91,6419,320658967.08,0.184687,2186581,18935313927.06
2024-05-01 02:00:00,0.1306308745,362210762.9338,47070760.41,5364,365429686.7,0.25176,1925537,18894565624.49
2024-05-01 03:00:00,0.1323743324,199953359.2131,26345659.23,3761,307565590.3,0.394382,1889888,18767374089.5
2024-05-01 04:00:00,0.132580324,114771886.1861,15225365.04,2124,263141129.35,0.514555,1459681,18991577929.67
2024-05-01 05:00:00,0.1316855537,134807469.5976,17829793.93,2649,342314695.32,0.373509,971719,19041297831.11
2024-05-01 06:00:00,0.1289462415,232647489.1741,30322417.63,8880,432848096.31,0.158072,2700905,18946919490.28
2024-05-01 07:00:00,0.1246852895,1297384271.1126,163341522.71,9649,501979450.81,0.179835,3236316,18673172640.65
2024-05-01 08:00:00,0.124329469,961407068.6885,118776333.59,9973,839174386.93,0.158568,3084028,17945667310.05
2024-05-01 09:00:00,0.1239776372,356016689.5249,44404527.21,29411,402596000.55,0.1307,8983604,17758194598.78
2024-05-01 10:00:00,0.1250296055,366889791.5087,45642014.32,8007,451328032.56,0.178131,2723327,17801452238.66
2024-05-01 11:00:00,0.1256865368,225713668.9887,28241143.97,6899,525827977.58,0.175975,2730188,17899502362.5
2024-05-01 12:00:00,0.1266195203,465703088.5434,59035305.8,20850,889526277.72,0.069727,6791867,17983823988.63
2024-05-01 13:00:00,0.1242695325,421672805.801,52762084.56,27472,514637654.57,0.064779,8593826,18200032619.54
2024-05-01 14:00:00,0.1245242846,418921789.1082,51838110.14,27339,386518504.83,0.05813,7480257,17907763599.69
2024-05-01 15:00:00,0.1210720634,576760127.9817,70059175.78,25789,442870434.62,0.072952,6800401,17859339880.86
2024-05-01 16:00:00,0.1231587434,512657210.5188,62715391.27,16169,631244144.94,0.110278,4694306,17401506896.62
2024-05-01 17:00:00,0.1265867966,437657994.7251,54495336.55,23570,656667208.56,0.068772,6403919,17703837483.86
2024-05-01 18:00:00,0.1312402607,1240276842.5207,161075492.93,24081,987924358.3,0.117875,6822881,17986263522.14
2024-05-01 19:00:00,0.1272502516,805737067.9515,104020827.31,23050,759434596.38,0.109716,6398736,18912758258.56
2024-05-01 20:00:00,0.1276511582,415341087.695,53032812.51,47442,496686757.95,0.069543,11955124,18450866798.8
2024-05-01 21:00:00,0.1289096055,301194639.8488,38611609.5,23193,377701509.41,0.09903,5928569,18340191394.33
2024-05-01 22:00:00,0.1294937629,233557957.5951,30308975.98,9090,630738331.4,0.15785,2411037,18530707105.8
2024-05-01 23:00:00,0.1305154692,229706833.3792,29957142.8,10105,250767396.46,0.137139,2770484,18667209448.36
2024-05-02 00:00:00,0.1278013723,316526023.1488,40991031.96,5188,532283108.06,0.18325,1589128,18810287917.28
2024-05-02 01:00:00,0.1258449104,305965050.6318,38783962.93,13093,233487389.16,0.090736,3489638,18425500262.91
2024-05-02 02:00:00,0.1261812643,199895131.1956,25211351.38,8743,267416410.72,0.152309,2711506,18196044593.39
2024-05-02 03:00:00,0.126435188,107717798.0415,13656346.98,5830,305461897.09,0.172382,1881013,18168945544.39
2024-05-02 04:00:00,0.1251602819,198154193.1283,25017373.02,31981,402419849.08,0.04979,8552289,18223617901.76
2024-05-02 05:00:00,0.1260921472,230295141.0197,28851186.44,1678,201919304.2,0.488232,513392,18138140521.03
2024-05-02 06:00:00,0.126714634,165657240.271,20954146.62,18834,284649712.32,0.078868,4998392,18079413467.12
2024-05-02 07:00:00,0.1271752714,284628175.0372,36276499.71,33845,509299594.54,0.066174,9063097,18212614118.03
2024-05-02 08:00:00,0.1284927335,178482370.8163,22862324.96,12199,350766186.53,0.142844,3439882,18310677048.75
2024-05-02 09:00:00,0.1292519084,162317971.5496,20891945.8,10366,360340409.03,0.116796,3351328,18465696777.58
2024-05-02 10:00:00,0.1300817065,230711781.4108,29910792.35,20640,450362492.91,0.057959,4839408,18552722512.21
2024-05-02 11:00:00,0.1322295821,685860228.8002,90234251.55,37599,583462884.03,0.079482,10242473,18682730989.75
2024-05-02 12:00:00,0.1315234817,432996152.6824,57358415.43,22738,474102348.46,0.102338,6009298,19040391911.02
2024-05-02 13:00:00,0.1301092601,342766374.5423,44861063.98,39287,435319304.91,0.08666,10140183,19004493823.41
2024-05-02 14:00:00,0.1328564512,607989191.4966,80056794.43,28699,660182619.86,0.114874,7753369,18705111444.51
2024-05-02 15:00:00,0.1336921845,372436095.4938,49811817.68,18513,585565326.5,0.139825,5180483,19113985867.44
2024-05-02 16:00:00,0.1329340083,248183522.3683,33058513.66,46874,599098704.18,0.082789,12713163,19235731169.91
2024-05-02 17:00:00,0.1343045889,209866069.4347,28080276.08,8276,730237136.9,0.293701,5144002,19162503299.89
2024-05-02 18:00:00,0.1334733893,296261588.1817,39546370.71,9379,395138204.13,0.133953,2772957,19229787406.21
2024-05-02 19:00:00,0.1331734937,168077549.3157,22318631.1,29309,530800529.8,0.075167,7943300,19195966247.86
2024-05-02 20:00:00,0.1317943877,195389494.2473,25848579.49,8324,273740379.77,0.187191,2800606,19111870533.88
2024-05-02 21:00:00,0.1327914647,131821519.0823,17516085.79,7407,469986893.38,0.198744,3116801,18936953792.74
2024-05-02 22:00:00,0.1335208219,188721376.0786,25224538.98,7899,272865495.29,0.16435,2538596,19122114158.33
2024-05-02 23:00:00,0.1322975336,139349448.9104,18536655.53,3818,287908917.37,0.260307,1893833,19203678541.54
2024-05-03 00:00:00,0.1325774508,165474093.2404,21908211.11,5428,493671762.93,0.190088,2093833,19035728180.86
2024-05-03 01:00:00,0.1343330184,345755065.9692,46549507.7,5732,214332671.79,0.201526,2632210,18996665765.41
2024-05-03 02:00:00,0.1342416203,293425688.6176,39578686.16,4360,209727065.81,0.296382,1928184,19306950389.79
2024-05-03 03:00:00,0.1356170967,222569904.3483,30270307.03,8790,160516871.46,0.132489,2939623,19272781686.69
2024-05-03 04:00:00,0.1343256908,168295922.3526,22751697.49,8982,561567114.34,0.146936,3403885,19479832082.25
2024-05-03 05:00:00,0.1340151595,116675680.1947,15679104.78,9706,216026565.99,0.098351,2915019,19289285988.28
2024-05-03 06:00:00,0.1332326863,141493422.1492,18917938.22,6569,303887799.23,0.149804,2014516,19261777741.08
2024-05-03 07:00:00,0.1327250313,149854015.2964,19974184.37,14987,306510019.33,0.085232,4873527,19125511739.29
2024-05-03 08:00:00,0.1327843488,133064246.0431,17720615.63,6747,530771317.44,0.148609,2010529,19079047640.95
2024-05-03 09:00:00,0.133635427,116053290.2722,15495994.48,13146,236392324.14,0.448484,8233021,19105876689.42
2024-05-03 10:00:00,0.1324357666,161315047.4312,21405563.46,14107,292750027.87,0.356478,8505955,19250250666.21
2024-05-03 11:00:00,0.133040752,128931114.94,17099963.45,15456,439981624.17,0.092701,4163137,19011463281.53
2024-05-03 12:00:00,0.1379144071,539462811.774,73464826.41,21689,549313930.92,0.123935,6200819,19052994136.09
2024-05-03 13:00:00,0.1389952447,561766198.4389,77851114.3,12931,528387639.51,0.178994,4219051,19745165815.78
2024-05-03 14:00:00,0.1390411481,424834733.669,59158129.77,17197,492443433.98,0.103791,5107246,19933731691.07
2024-05-03 15:00:00,0.1394343174,184845884.6556,25646351.92,13224,318083144.68,0.11094,4254789,19967162966.04
2024-05-03 16:00:00,0.1403129529,267728932.807,37636932.57,17783,490375119.23,0.109273,5739656,20030174098.19
2024-05-03 17:00:00,0.1409057145,159874342.0974,22443948.67,8669,444806569.07,0.172164,3373913,20164958059.45
2024-05-03 18:00:00,0.1404298367,104976684.3898,14779128.83,7599,262105548.69,0.202703,2951915,20234971707.67
2024-05-03 19:00:00,0.1410518132,102846296.9414,14425338.08,7072,364915984.97,0.224759,2895362,20177039313.88
2024-05-03 20:00:00,0.1445049897,449753515.4488,64865334.03,6855,508186168.61,0.226901,2720462,20231140299.54
2024-05-03 21:00:00,0.1454851732,253129830.5967,36758157.35,9937,303352529.43,0.147213,3740171,20765682597.17
2024-05-03 22:00:00,0.146790753,271148747.2733,39772181.94,9485,277217425.34,0.131162,3484706,20880437475.6
2024-05-03 23:00:00,0.1467175763,284994164.0891,42087592.51,7444,455662666.32,0.186679,2670791,21060394358.89
2024-05-04 00:00:00,0.1523108048,555350788.0924,83549592.64,15061,622417447.46,0.091496,4535983,21090329916.56
2024-05-04 01:00:00,0.1497309535,394038730.6132,59759954.68,16423,345328586.51,0.075755,5031120,21767315411.63
2024-05-04 02:00:00,0.1494615371,430918524.6744,64708373.72,32506,221759065.43,0.456036,9851532,21496994717.24
2024-05-04 03:00:00,0.1500342382,288922153.7741,43399480.66,24414,309176160.36,0.337275,7366268,21446684594.48
2024-05-04 04:00:00,0.1510368364,287331071.4739,43308982.39,25896,393551720.71,0.073205,7796541,21518965778.91
2024-05-04 05:00:00,0.1524445637,217044091.6229,32824089.75,9017,251819703.33,0.137638,2806798,21645779500.05
2024-05-04 06:00:00,0.1509346102,205919255.2163,31116266.25,13427,379148750.52,0.084281,4186084,21698133615.45
2024-05-04 07:00:00,0.1508146825,160356498.2109,24215118.69,19556,339987223.53,0.068731,5752048,21651513154.17
2024-05-04 08:00:00,0.1521008732,259788921.2404,39459298.98,28374,302467036.25,0.05027,7736074,21672835323.41
2024-05-04 09:00:00,0.1524538375,199625822.3162,30441477.08,20895,297826458.6,0.073017,6120999,21834112773.81
2024-05-04 10:00:00,0.1574488155,403734517.6494,62438005.19,14375,297287219.67,0.080463,4319786,21859287994.77
2024-05-04 11:00:00,0.1593597727,1484162881.4772,237333380.65,15968,733590778.01,0.096331,5364540,22409423516.64
2024-05-04 12:00:00,0.1658468057,1120905659.1441,182433989.39,14036,783366420.36,0.100752,4398372,23008038989.38
2024-05-04 13:00:00,0.1653688999,1831800774.6308,304827519.62,5841,806390196.38,0.309965,2240058,23883531202.97
2024-05-04 14:00:00,0.1668839994,664780501.03,110053048.67,3994,478249596.59,0.314589,1563435,23648772227.68
2024-05-04 15:00:00,0.1638090776,701520681.0956,115048732.08,3865,418752401.88,0.337961,1396382,23917917769.0
