timestamp,close_price,volume_base,volume_quote,transaction_count,successful_transaction_count,total_fee_sol,avg_fee_sol,market_cap
2024-05-01 00:00:00,125.1005,513934.1844,64575943.45,8837436,6777203,228.6608,2.587e-05,57068380747.46
2024-05-01 01:00:00,126.8711,683454.0389,86164402.38,9286854,7312422,206.7113,2.226e-05,56022578405.16
2024-05-01 02:00:00,125.0548,705846.8439,88318479.6,8450646,6534633,217.1579,2.57e-05,56778548455.6
2024-05-01 03:00:00,126.1589,422406.4831,52954244.59,9489185,7529496,221.0711,2.33e-05,56015207934.07
2024-05-01 04:00:00,125.9056,302809.5565,38198777.59,9238242,7418829,222.2989,2.406e-05,56515542245.6
2024-05-01 05:00:00,125.082,320654.0779,40168311.8,9074138,7142826,171.0434,1.885e-05,56287167139.35
2024-05-01 06:00:00,122.8263,689952.9932,85343812.28,8511218,6724752,162.6879,1.911e-05,55883398881.97
2024-05-01 07:00:00,120.5031,1757071.8395,212238285.79,8462130,6879615,202.1013,2.388e-05,55270377170.97
2024-05-01 08:00:00,121.0997,1108013.102,132924459.47,8489463,6847295,182.6292,2.151e-05,53864869417.03
2024-05-01 09:00:00,120.7857,742829.909,90145188.69,8777861,7057795,179.6191,2.046e-05,53755115284.9
2024-05-01 10:00:00,121.6413,438310.7606,53057231.34,8860700,7208372,163.1265,1.841e-05,54116264579.27
2024-05-01 11:00:00,122.9572,420351.1166,51247702.23,9025165,7332873,178.8595,1.982e-05,54212761907.78
2024-05-01 12:00:00,123.8372,802407.8601,99421986.35,8514441,6598271,277.7865,3.263e-05,54674096250.47
2024-05-01 13:00:00,123.4147,552641.6099,68090770.94,8654058,6772374,210.2985,2.43e-05,55404515719.67
2024-05-01 14:00:00,123.4692,535173.2722,65767219.96,9042000,7156890,213.1227,2.357e-05,55328836896.28
2024-05-01 15:00:00,123.3171,596879.7284,73125252.38,9280857,7359562,243.2378,2.621e-05,55064543031.2
2024-05-01 16:00:00,124.4497,826075.2617,102836029.1,7745322,6057701,254.6549,3.288e-05,54932664551.64
2024-05-01 17:00:00,126.8211,733761.8195,92312370.47,8758634,6796550,306.2772,3.497e-05,55566625449.53
2024-05-01 18:00:00,133.9447,2362343.6016,309893384.76,6937726,5520397,308.7588,4.45e-05,56482268450.32
2024-05-01 19:00:00,129.6685,2054576.9587,269337297.94,6464481,5008809,350.3724,5.42e-05,60310226581.16
2024-05-01 20:00:00,131.772,962304.4618,126225223.42,6801553,5191476,238.7339,3.51e-05,58467849497.77
2024-05-01 21:00:00,133.3794,787472.5869,104801393.7,7099501,5410376,251.4064,3.541e-05,59215480589.77
2024-05-01 22:00:00,133.3578,417856.5723,55892664.5,7710318,5809327,256.212,3.323e-05,59820827617.15
2024-05-01 23:00:00,134.6297,521736.6528,69997332.05,8808511,6737836,277.0187,3.145e-05,59484451518.96
2024-05-02 00:00:00,131.4696,739088.8957,97971114.19,9021681,7061930,280.9976,3.115e-05,60292554289.61
2024-05-02 01:00:00,129.6897,612510.1719,79864504.21,8822319,6868772,243.0346,2.755e-05,58680430144.41
2024-05-02 02:00:00,129.6112,539810.0675,69934077.55,9235352,7203347,238.7772,2.585e-05,58226094177.67
2024-05-02 03:00:00,130.0905,411643.4165,53646068.35,9284207,7307339,247.4921,2.666e-05,58055889781.17
2024-05-02 04:00:00,129.5669,442239.6301,57617701.05,9015569,6970857,230.0827,2.552e-05,58211846708.44
2024-05-02 05:00:00,129.589,396723.9385,51240887.81,9084132,7080706,200.2177,2.204e-05,58340081611.71
2024-05-02 06:00:00,129.7669,261872.4161,34009211.91,9185257,7122048,287.4008,3.129e-05,57900864113.6
2024-05-02 07:00:00,131.4062,890802.072,117357042.39,9413992,7633654,188.5421,2.003e-05,58078017389.02
2024-05-02 08:00:00,133.4115,595004.4914,79030662.8,9109020,7424563,191.1953,2.099e-05,58824821641.89
2024-05-02 09:00:00,133.7478,285198.8512,37991816.66,9305412,7612091,181.9285,1.955e-05,59699104499.13
2024-05-02 10:00:00,134.5166,634073.2197,85069993.73,9115336,7485289,216.4751,2.375e-05,59687508306.39
2024-05-02 11:00:00,138.8877,1831839.3826,251573375.08,8565979,6926725,235.3616,2.748e-05,60364854059.11
2024-05-02 12:00:00,137.1472,1155154.7539,159644831.54,8514387,6745522,241.0962,2.832e-05,61862305548.47
2024-05-02 13:00:00,136.0413,723529.1717,99001187.31,8892138,6940458,322.5845,3.628e-05,61555081522.98
2024-05-02 14:00:00,138.9452,908631.5165,124859105.5,9340442,7393672,392.1416,4.198e-05,60771754334.76
2024-05-02 15:00:00,139.2693,1100269.8995,153621222.56,8943267,7228942,383.4799,4.288e-05,61891267538.21
2024-05-02 16:00:00,138.0168,472823.7907,65499196.13,8990857,7018649,517.5455,5.756e-05,62176979201.43
2024-05-02 17:00:00,139.3562,440100.8982,61191226.81,9216385,7150440,456.0933,4.949e-05,61839974864.68
2024-05-02 18:00:00,138.1653,369733.9906,51327851.2,9431905,7270434,442.2153,4.689e-05,62237957409.17
2024-05-02 19:00:00,138.291,423980.8142,58424456.66,9202890,7151540,419.8475,4.562e-05,61986663429.49
2024-05-02 20:00:00,136.8225,629566.9707,86384136.6,9344281,7459045,420.3635,4.499e-05,61755643377.02
2024-05-02 21:00:00,138.7837,390284.3897,53757591.26,9686393,7556276,448.2356,4.627e-05,60997533908.12
2024-05-02 22:00:00,139.0321,684382.1411,95691006.01,8297592,6365514,375.2261,4.522e-05,61938616914.08
2024-05-02 23:00:00,137.8509,348149.6851,48241054.87,8639017,6445990,384.2579,4.448e-05,62289255303.44
2024-05-03 00:00:00,138.0403,456630.5698,63014805.68,8751801,6760495,435.2652,4.973e-05,61609204300.95
2024-05-03 01:00:00,139.8414,567697.6856,79530107.16,8597705,6784043,327.0874,3.804e-05,61528586614.46
2024-05-03 02:00:00,140.0602,649820.9253,91350556.37,8585659,6669322,331.5003,3.861e-05,62447250087.63
2024-05-03 03:00:00,141.3455,457340.5458,64633121.0,9272491,7245730,299.9385,3.235e-05,62462783983.1
2024-05-03 04:00:00,140.3423,387345.0443,54670084.53,9216026,7345722,340.4937,3.695e-05,63027090503.26
2024-05-03 05:00:00,139.6017,423004.3546,59364438.4,8599475,6834121,313.5104,3.646e-05,62653005531.93
2024-05-03 06:00:00,138.8652,380596.5927,52965046.5,9121406,7474807,244.5329,2.681e-05,62274028414.07
2024-05-03 07:00:00,137.5348,572165.8685,78973722.89,8624387,7004806,228.2883,2.647e-05,61970284128.54
2024-05-03 08:00:00,137.7321,477384.2323,65901215.02,8593408,6846963,226.9004,2.64e-05,61310557517.98
2024-05-03 09:00:00,138.9583,262847.3658,36535741.35,8612569,6827234,243.496,2.827e-05,61714634480.95
2024-05-03 10:00:00,137.6419,374984.8953,51650892.84,8926932,7394918,211.6459,2.371e-05,62094774945.09
2024-05-03 11:00:00,137.2158,876726.4995,119781746.68,8661127,7008174,222.9543,2.574e-05,61123323200.95
2024-05-03 12:00:00,142.3331,1423973.6648,200097123.38,8496771,6871063,269.9604,3.177e-05,61072355651.88
2024-05-03 13:00:00,143.3609,1407025.8823,201509619.95,8317238,6643168,291.0981,3.5e-05,63161807555.43
2024-05-03 14:00:00,142.9756,861593.979,123438201.78,8344613,6451440,347.1777,4.161e-05,63988098663.5
2024-05-03 15:00:00,142.4915,597261.8951,84861162.36,8388041,6651763,357.2654,4.259e-05,63802105717.52
2024-05-03 16:00:00,142.1026,485903.8199,69279845.22,8866746,6951796,414.1163,4.67e-05,63727988203.49
2024-05-03 17:00:00,142.5974,333749.4994,47422743.11,8806373,6752290,619.6115,7.036e-05,63567773346.14
2024-05-03 18:00:00,142.0175,244765.1357,34825415.46,9583288,7527948,460.9442,4.81e-05,63534231490.82
2024-05-03 19:00:00,143.1623,258433.7464,36686144.22,9564985,7581166,547.0773,5.72e-05,63408648747.7
2024-05-03 20:00:00,144.1891,839192.5255,120988863.91,9628021,7770477,460.7627,4.786e-05,63597047402.3
2024-05-03 21:00:00,143.5785,322858.1973,46466441.16,9192272,7093629,441.7876,4.806e-05,64222617155.9
2024-05-03 22:00:00,143.8767,369315.7193,53199682.24,9551685,7456033,1223.1733,0.00012806,64080926894.09
2024-05-03 23:00:00,144.1474,300927.09,43545647.68,9284883,7398535,584.4771,6.295e-05,64236145603.26
