timestamp,close_price,volume_base,volume_quote,transaction_count,total_value_transferred_doge,avg_fee_doge,total_size_used_bytes
2024-03-01 00:00:00,0.1203814679,615872312.8546,73947524.02,83735,1232411995.79,0.157433,27271623
2024-03-01 01:00:00,0.1218596815,573206433.2687,69206191.15,69172,857810486.26,0.160311,20767963
2024-03-01 02:00:00,0.1222268772,480061168.3188,58231532.37,65607,951153801.06,0.144798,19977197
2024-03-01 03:00:00,0.1204030189,405881156.5694,49029942.16,63909,904441442.51,0.143913,21671740
2024-03-01 04:00:00,0.1220664703,338795841.5751,41029407.41,63548,884116901.52,0.155049,20835210
2024-03-01 05:00:00,0.1210757368,337082591.6442,40982334.82,42329,598346004.82,0.136891,13645878
2024-03-01 06:00:00,0.1215935523,402866154.5812,48911861.13,57221,756219379.46,0.134926,19091586
2024-03-01 07:00:00,0.1190435241,637060908.4118,76532693.26,82085,731482161.05,0.127525,26436711
2024-03-01 08:00:00,0.1221370455,492962601.0758,59996182.81,85443,1026140670.92,0.116629,27282098
2024-03-01 09:00:00,0.1229502522,522988121.6572,64505317.68,60655,575353228.98,0.158001,21835032
2024-03-01 10:00:00,0.1216654109,288616005.0046,35179540.61,103638,819549131.05,0.132699,31562832
2024-03-01 11:00:00,0.1220955823,243437193.1943,29700580.54,83137,765567590.42,0.151052,28606933
2024-03-01 12:00:00,0.1226787431,381688126.6177,47097276.68,101977,1027401022.86,0.132291,29695105
2024-03-01 13:00:00,0.1269478276,710638441.1849,89200468.62,86750,725101336.28,0.141423,26337220
2024-03-01 14:00:00,0.1263469331,1433748358.8604,183833530.22,108703,914961448.3,0.146553,33896960
2024-03-01 15:00:00,0.1250309263,728630394.5025,91420749.68,95881,814124358.83,0.153286,30105017
2024-03-01 16:00:00,0.1294609668,1415481487.7009,181824908.27,79001,1002724060.73,0.175733,26956192
2024-03-01 17:00:00,0.1325000037,1227344185.4514,161951307.0,88574,1982355562.15,0.162821,26603690
2024-03-01 18:00:00,0.135299914,1672932181.0159,228096811.4,71503,1381380407.14,0.199552,22203866
2024-03-01 19:00:00,0.1362138913,736386235.2966,99480653.98,82517,1068716615.86,0.181798,25432427
2024-03-01 20:00:00,0.14046128,1066505132.2542,147665850.0,82033,932097239.49,0.186978,25748294
2024-03-01 21:00:00,0.1414992829,1187639527.0551,165355803.07,85735,756974549.74,0.176474,26158659
2024-03-01 22:00:00,0.140560057,1557281751.2559,224173527.23,73210,1346081013.91,0.172799,21945393
2024-03-01 23:00:00,0.1401970957,1054179135.9113,149014544.81,56220,2922677346.79,0.185183,17150858
2024-03-02 00:00:00,0.1474301973,1964643643.6949,289997557.54,50103,1641751283.65,0.157441,15305874
2024-03-02 01:00:00,0.1432097705,1352644620.9558,194686379.71,30042,966029412.8,0.19543,12826293
2024-03-02 02:00:00,0.1413693442,714293812.6434,101860859.57,36771,1011934472.69,0.171243,15757195
2024-03-02 03:00:00,0.1423040705,521888413.2062,74455029.93,35696,636423020.59,0.139586,14031562
2024-03-02 04:00:00,0.1437306509,560936106.0544,80021417.33,26322,1024550087.06,0.169603,12960979
2024-03-02 05:00:00,0.1432738026,621974356.8565,88336271.03,47823,685761351.93,0.112372,20309858
2024-03-02 06:00:00,0.1435202329,418107276.3268,59716308.98,36711,945113364.81,0.140168,18103574
2024-03-02 07:00:00,0.1480170649,1012504380.3524,147705927.36,39535,868045659.3,0.13762,17686869
