timestamp,transaction_count,total_value_transferred_doge,avg_fee_doge,total_size_used_bytes
2024-01-05 05:00:00,96253,234465347.47,0.022151,29988924
2024-01-05 06:00:00,76456,558570701.39,0.025618,24021632
2024-01-05 07:00:00,69401,325557323.3,0.030129,22295097
2024-01-05 08:00:00,12021,594204532.65,0.136948,4487803
2024-01-05 09:00:00,13708,327193805.1,0.120644,4978983
2024-01-05 10:00:00,27665,699200268.98,0.066908,9341378
2024-01-05 11:00:00,31682,310261408.34,0.052622,10444234
2024-01-05 12:00:00,15174,452244615.21,0.102203,5531021
2024-01-05 13:00:00,51212,405471549.25,0.042313,16423457
2024-01-05 14:00:00,18868,359427637.21,0.104168,7610669
2024-01-05 15:00:00,24142,529304475.51,0.0739,8780247
2024-01-05 16:00:00,58642,543956730.04,0.036866,19407064
2024-01-05 17:00:00,22516,423527220.95,0.078559,8157927
2024-01-05 18:00:00,42434,172850920.88,0.045017,14000445
2024-01-05 19:00:00,85772,450362168.1,0.028754,27466293
2024-01-05 20:00:00,71511,268596803.11,0.027679,22919025
2024-01-05 21:00:00,55215,407656844.27,0.032092,17541925
2024-01-05 22:00:00,43306,160660944.6,0.041273,15127889
2024-01-05 23:00:00,26428,245951460.36,0.057117,9685124
2024-01-06 00:00:00,62711,290412681.7,0.027541,19525642
2024-01-06 01:00:00,59845,192944815.13,0.033336,20185717
2024-01-06 02:00:00,57874,239229102.64,0.031526,21044367
2024-01-06 03:00:00,47701,109949965.8,0.035833,15876069
2024-01-06 04:00:00,41504,383429302.65,0.038216,13959998
2024-01-06 05:00:00,69577,332745979.28,0.031117,22675556
2024-01-06 06:00:00,67686,444895258.04,0.03629,22241039
2024-01-06 07:00:00,54804,560729951.06,0.043713,17733998
2024-01-06 08:00:00,34452,876342401.4,0.067343,12506245
2024-01-06 09:00:00,24602,903637521.55,0.092376,8658509
2024-01-06 10:00:00,25677,462386216.03,0.076914,9040866
2024-01-06 11:00:00,21548,338603397.48,0.090663,7525151
2024-01-06 12:00:00,30882,483673216.96,0.066009,10725820
2024-01-06 13:00:00,48419,428578157.26,0.040811,16046654
2024-01-06 14:00:00,67900,466265641.08,0.031745,21438081
2024-01-06 15:00:00,49156,431360421.83,0.04314,15929283
2024-01-06 16:00:00,86781,478242021.15,0.027295,27349422
2024-01-06 17:00:00,73870,651148167.07,0.034816,23423419
2024-01-06 18:00:00,56583,636179178.38,0.043766,19809405
2024-01-06 19:00:00,16203,347383678.54,0.089937,6852638
2024-01-06 20:00:00,4910,620841814.45,0.302261,2176085
2024-01-06 21:00:00,4271,529619372.74,0.304815,2012189
2024-01-06 22:00:00,4385,333209489.58,0.319339,1670714
2024-01-06 23:00:00,15122,178255226.36,0.084226,5560277
2024-01-07 00:00:00,31861,473955149.64,0.059349,11232362
2024-01-07 01:00:00,28858,312640510.65,0.055107,10239814
2024-01-07 02:00:00,27685,239852695.46,0.054927,10085054
2024-01-07 03:00:00,40213,387718559.91,0.037941,13776325
2024-01-07 04:00:00,51773,371787992.02,0.033395,16629176
2024-01-07 05:00:00,15239,288106478.28,0.086412,5361691
2024-01-07 06:00:00,7167,576717048.58,0.15341,2847488
2024-01-07 07:00:00,6688,282738355.98,0.1851,2700126
2024-01-07 08:00:00,8948,620439727.73,0.138675,3075320
2024-01-07 09:00:00,6638,477103180.98,0.172612,2460897
2024-01-07 10:00:00,7177,574524695.82,0.199867,2688058
2024-01-07 11:00:00,4370,210788893.9,0.256847,1700970
2024-01-07 12:00:00,3037,552022922.75,0.337077,1688132
2024-01-07 13:00:00,16341,413222500.67,0.105514,6741326
2024-01-07 14:00:00,6913,419018941.48,0.227351,3366647
2024-01-07 15:00:00,3892,574129862.52,0.352034,2259715
2024-01-07 16:00:00,7472,571150541.16,0.19478,3658449
2024-01-07 17:00:00,12174,632523140.52,0.169951,7118174
2024-01-07 18:00:00,10760,490740679.98,0.132963,5338859
2024-01-07 19:00:00,9185,571714488.03,0.149942,4399711
2024-01-07 20:00:00,7919,760024574.69,0.190649,3861040
2024-01-07 21:00:00,6041,420778672.55,0.219803,3301579
2024-01-07 22:00:00,5732,685865726.28,0.264238,3579555
2024-01-07 23:00:00,4374,431225371.56,0.257719,2484762
2024-01-08 00:00:00,5438,478241502.47,0.253607,3230394
2024-01-08 01:00:00,4192,308286483.77,0.303827,2997325
2024-01-08 02:00:00,4284,464863693.03,0.330505,3650132
